cycle,component,item,correlation
0506,IC1,DPQ010,0.3911225734975332
0506,IC1,DPQ020,0.5706162336924259
0506,IC1,DPQ030,0.11574361147073153
0506,IC1,DPQ040,0.1724734585953103
0506,IC1,DPQ050,-0.03972437772144995
0506,IC1,DPQ060,0.561828523372749
0506,IC1,DPQ070,0.11541262025019683
0506,IC1,DPQ080,-0.3851459756769452
0506,IC1,DPQ090,0.1982690876595166
0506,IC2,DPQ010,0.4677844574695091
0506,IC2,DPQ020,0.5273804287314316
0506,IC2,DPQ030,0.19624000025878632
0506,IC2,DPQ040,0.1931587793700713
0506,IC2,DPQ050,0.3239061861079061
0506,IC2,DPQ060,0.5521633169940338
0506,IC2,DPQ070,0.5683082324293554
0506,IC2,DPQ080,0.8071685411869183
0506,IC2,DPQ090,0.7551630255507411
0506,IC3,DPQ010,0.3974474459797913
0506,IC3,DPQ020,0.31898840450673255
0506,IC3,DPQ030,0.7275816396515001
0506,IC3,DPQ040,0.753343003943382
0506,IC3,DPQ050,0.6432524026075674
0506,IC3,DPQ060,0.23547697942659293
0506,IC3,DPQ070,0.34522538019359666
0506,IC3,DPQ080,0.20340337963557376
0506,IC3,DPQ090,-0.09972796006904223
0708,IC1,DPQ010,0.3451337478877693
0708,IC1,DPQ020,0.5737219232679074
0708,IC1,DPQ030,0.24662986033993517
0708,IC1,DPQ040,0.17682395901907588
0708,IC1,DPQ050,0.22762933692671458
0708,IC1,DPQ060,0.5766526369873638
0708,IC1,DPQ070,0.24655067259422464
0708,IC1,DPQ080,0.21409927215861757
0708,IC1,DPQ090,0.9319904474242829
0708,IC2,DPQ010,0.5234059064132904
0708,IC2,DPQ020,0.5029819242255357
0708,IC2,DPQ030,0.23633914887288326
0708,IC2,DPQ040,0.41073154978138837
0708,IC2,DPQ050,0.3038329985389776
0708,IC2,DPQ060,0.5030824442200506
0708,IC2,DPQ070,0.7579596744705671
0708,IC2,DPQ080,0.7771620415738131
0708,IC2,DPQ090,-0.0016371970209267611
0708,IC3,DPQ010,0.3072196817408207
0708,IC3,DPQ020,0.22064409481467634
0708,IC3,DPQ030,0.7018315062940014
0708,IC3,DPQ040,0.6618974056537361
0708,IC3,DPQ050,0.6238731244506118
0708,IC3,DPQ060,0.12593003442308207
0708,IC3,DPQ070,0.0736627238187333
0708,IC3,DPQ080,-0.02466042119150572
0708,IC3,DPQ090,-0.010013198041802486
