cycle,file,bytes,sha256,rows,columns,seqn_duplicates
0506,CBC_D.XPT,1589600,06c68d5d40146dd606ffeb038dee1295f9a9f63009033bd78a14e0636717aad7,9440,21,0
0506,DEMO_D.xpt,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,10348,43,0
0506,DPQ_D.XPT,471760,d78e85a5ff46efc34d509897b85c1a87184f9153ed154ff01fe5085375a4c9e1,5334,11,0
0506,GHB_D.XPT,112720,5662b07e9c0ac2afa600604b4e0f224567ce9e1e07b8787aaf5ad98717701f29,6980,2,0
0506,GLU_D.XPT,216400,7ddfb26f4fc8a1e33a5b0bf8ed3371d0fc95da3dddc7b6a8de8dd6148bd73c17,3352,8,0
0506,OPXRET_D.XPT,5242640,4d435b50fba68f444c7b7d51b180d668aa703a4cdca711234b5565394639b6c0,2934,222,0
0506,BMX_D.XPT,2153760,a52909be94cf825ba8a65477a9528603576fd5fbf3abadd72549a3f15c88566e,9950,27,0
0506,BIOPRO_D.XPT,2072000,6de916025812b78db1b81e62f77d94d83ed8b046d9d5c8a9d584f7caec120310,6980,37,0
0506,SMQ_D.XPT,2578880,ef82433aca1a36ba2310a624ccdbaf195e2a258a88af0f284ef2a58d36be3011,7186,39,0
0708,CBC_E.XPT,1567280,e83558b948eaf1b002e029d69731c01c81935ebf85013358d59d2aa95ad38a26,9307,21,0
0708,DEMO_E.XPT,3498080,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147,10149,43,0
0708,DPQ_E.XPT,529920,05c63fc1e618b580ba2714011fb999161345faa3369eceb138e71d4dd7c49dea,5995,11,0
0708,GHB_E.XPT,111760,4c0311851825e9e0352c58af193c58d8f7a3af613aa5f522893e3c8f83e53a53,6917,2,0
0708,GLU_E.XPT,214000,1b9248c4ef597a900e89e66c302e98bf07ce8978a47a32a7a41d3e31ef188aad,3315,8,0
0708,OPXRET_E.XPT,6892560,98c265233382a28f90fd88449dc0f6a11da9b2831e3ced378bd094f12f2fcb7a,3863,222,0
0708,BMX_E.XPT,1800240,b67b50dbd12c9510b49b6348b595b9fd073c422c0c6eac182f90ac57b491a97d,9762,23,0
0708,BIOPRO_E.XPT,2053360,6c2cec1e790c09e0319bf5a576a2ab64861d4270679c8113663f83a6b7087ced,6917,37,0
0708,SMQ_E.XPT,2449520,881865ee05f4b2be0c03c761f00ad8e355f2cc5e7d3be41666edef6f3dca5862,7145,37,0
