cycle,source,variable,present_in_raw,already_in_working
0506,DEMO,INDFMPIR,True,False
0506,DEMO,DMDEDUC2,True,False
0506,DEMO,RIDEXPRG,True,False
0506,DEMO,WTMEC2YR,True,True
0506,DEMO,SDMVPSU,True,True
0506,DEMO,SDMVSTRA,True,True
0506,BMX,BMXBMI,True,False
0506,BIOPRO,LBXSCR,True,False
0506,SMQ,SMQ020,True,False
0506,SMQ,SMQ040,True,False
0708,DEMO,INDFMPIR,True,False
0708,DEMO,DMDEDUC2,True,False
0708,DEMO,RIDEXPRG,True,False
0708,DEMO,WTMEC2YR,True,True
0708,DEMO,SDMVPSU,True,True
0708,DEMO,SDMVSTRA,True,True
0708,BMX,BMXBMI,True,False
0708,BIOPRO,LBXSCR,True,False
0708,SMQ,SMQ020,True,False
0708,SMQ,SMQ040,True,False
