cycle,source,variable,present
0506,DEMO,INDFMPIR,True
0506,DEMO,DMDEDUC2,True
0506,DEMO,DMDEDUC3,True
0506,DEMO,RIDEXPRG,True
0506,DEMO,WTMEC2YR,True
0506,DEMO,SDMVPSU,True
0506,DEMO,SDMVSTRA,True
0506,BMX,BMXBMI,True
0506,BIOPRO,LBXSCR,True
0506,SMQ,SMQ020,True
0506,SMQ,SMQ040,True
0708,DEMO,INDFMPIR,True
0708,DEMO,DMDEDUC2,True
0708,DEMO,DMDEDUC3,True
0708,DEMO,RIDEXPRG,True
0708,DEMO,WTMEC2YR,True
0708,DEMO,SDMVPSU,True
0708,DEMO,SDMVSTRA,True
0708,BMX,BMXBMI,True
0708,BIOPRO,LBXSCR,True
0708,SMQ,SMQ020,True
0708,SMQ,SMQ040,True
