cycle,component,factor,correlation
0506,IC1,Affective,0.5527767601928063
0506,IC1,Somatic,0.11725726048052393
0506,IC1,Internalizing,0.5159277169913614
0506,IC1,Sensorimotor,-0.1216933754675505
0506,IC2,Affective,0.5716442150658688
0506,IC2,Somatic,0.2951094036262416
0506,IC2,Internalizing,0.7211294995962602
0506,IC2,Sensorimotor,0.8087034945126446
0506,IC3,Affective,0.4112044925229541
0506,IC3,Somatic,0.9092743340751573
0506,IC3,Internalizing,0.14638521906095572
0506,IC3,Sensorimotor,0.3418428022627746
0708,IC1,Affective,0.5256527469670998
0708,IC1,Somatic,0.27373590101436884
0708,IC1,Internalizing,0.8201619414261859
0708,IC1,Sensorimotor,0.27101675514977397
0708,IC2,Affective,0.5835153776559634
0708,IC2,Somatic,0.4004817215584941
0708,IC2,Internalizing,0.386199144743891
0708,IC2,Sensorimotor,0.8961836085471937
0708,IC3,Affective,0.2990898157963691
0708,IC3,Somatic,0.8406497677974348
0708,IC3,Internalizing,0.09279031506545284
0708,IC3,Sensorimotor,0.03403209089713176
