component,item,label,loading_0506,loading_0708_aligned
IC1,DPQ010,Anhedonia,0.391937572238488,0.34669418489881215
IC1,DPQ020,Depressed mood,0.5732235978654976,0.5782559056100394
IC1,DPQ030,Sleep,0.11626639756416082,0.2490243986777863
IC1,DPQ040,Fatigue,0.1750116985385271,0.17873395650488755
IC1,DPQ050,Appetite,-0.040072117310939015,0.23113921667800452
IC1,DPQ060,Self-worth,0.5632486547360659,0.5810065202521061
IC1,DPQ070,Concentration,0.11564578791213657,0.2478639381500477
IC1,DPQ080,Psychomotor,-0.3861520800201734,0.2149993279726904
IC1,DPQ090,Suicidal ideation,0.19934072566895705,0.9342846395357297
IC2,DPQ010,Anhedonia,0.4687591998385477,0.5257723569651847
IC2,DPQ020,Depressed mood,0.529790231948132,0.50695686586601
IC2,DPQ030,Sleep,0.1971263692065522,0.23863377431658314
IC2,DPQ040,Fatigue,0.19600143894895955,0.4151681444135745
IC2,DPQ050,Appetite,0.32674159878522085,0.30851788364097854
IC2,DPQ060,Self-worth,0.5535590176598314,0.506880852645127
IC2,DPQ070,Concentration,0.5694563833120708,0.7619969878662777
IC2,DPQ080,Psychomotor,0.8092770813932104,0.7804291671784167
IC2,DPQ090,Suicidal ideation,0.7592446572920158,-0.0016412271528912226
IC3,DPQ010,Anhedonia,0.39827562412653483,0.30860869966458165
IC3,DPQ020,Depressed mood,0.3204459847304037,0.22238779047840815
IC3,DPQ030,Sleep,0.7308679511654654,0.7086456140675492
IC3,DPQ040,Fatigue,0.7644297260345672,0.6690470158517905
IC3,DPQ050,Appetite,0.6488833108621556,0.633492796837517
IC3,DPQ060,Self-worth,0.23607219349976705,0.12688084021887558
IC3,DPQ070,Concentration,0.3459228376689367,0.07405509232020038
IC3,DPQ080,Psychomotor,0.20393472368848548,-0.02476409158349402
IC3,DPQ090,Suicidal ideation,-0.10026698646935422,-0.01003784657765086
