cohort,A_variable,G_variable,n_complete,pearson_r,spearman_rho,weighted_pearson_r
discovery_primary_somatic_X3,LBXHGB,LBXGH,3830,-0.09587023212001841,-0.13038115957987575,-0.09036502688820573
discovery_primary_somatic_X3,LBXHGB,LBXGLU,3830,0.0110402418575758,0.08934474677115062,0.03912643815939288
discovery_primary_somatic_X3,LBXHGB,LBXIN,3830,0.0573484492106022,0.06568433287824009,0.07672423047047827
discovery_primary_somatic_X3,LBXRBCSI,LBXGH,3830,0.023751271551724164,0.004006099465089747,0.03661441087493225
discovery_primary_somatic_X3,LBXRBCSI,LBXGLU,3830,0.04948273536320966,0.09054292926057941,0.08988374981564722
discovery_primary_somatic_X3,LBXRBCSI,LBXIN,3830,0.1267871876298034,0.16770508877071627,0.1702005384148043
discovery_primary_somatic_X3,LBXMCVSI,LBXGH,3830,-0.15324611844780747,-0.1469893305963732,-0.16428724009255008
discovery_primary_somatic_X3,LBXMCVSI,LBXGLU,3830,-0.06694906319295704,-0.015644968193783516,-0.08835579522713273
discovery_primary_somatic_X3,LBXMCVSI,LBXIN,3830,-0.11682676628736084,-0.20249939012705068,-0.15030512581222868
discovery_primary_somatic_X3,LBXRDW,LBXGH,3830,0.12040612012735227,0.32534887016013125,0.17188672743142688
discovery_primary_somatic_X3,LBXRDW,LBXGLU,3830,0.03286746068014521,0.09891976503222709,0.05764424435673313
discovery_primary_somatic_X3,LBXRDW,LBXIN,3830,0.03939427080462968,0.08961552830707563,0.0858755763400587
replication_primary_somatic_X3,LBXHGB,LBXGH,9919,-0.042637491324028616,-0.09532462562199238,-0.03963930242307591
replication_primary_somatic_X3,LBXHGB,LBXGLU,9919,0.04634038436687618,0.11999900696731097,0.06600957664192812
replication_primary_somatic_X3,LBXHGB,LBXIN,9919,0.02290810267918932,0.06446893954839159,0.05139815837195015
replication_primary_somatic_X3,LBXRBCSI,LBXGH,9919,0.05613824625571517,0.03907893861812208,0.061574051954832
replication_primary_somatic_X3,LBXRBCSI,LBXGLU,9919,0.07875065112633066,0.14210297246204948,0.10254515040857302
replication_primary_somatic_X3,LBXRBCSI,LBXIN,9919,0.07542100766809964,0.16532388274666127,0.11049868249918918
replication_primary_somatic_X3,LBXMCVSI,LBXGH,9919,-0.10498037486669692,-0.12617788461014734,-0.10899080269948232
replication_primary_somatic_X3,LBXMCVSI,LBXGLU,9919,-0.03731964582018229,-0.022217634952987755,-0.04438854935478734
replication_primary_somatic_X3,LBXMCVSI,LBXIN,9919,-0.07911363256379303,-0.17943239907902478,-0.09806424566813149
replication_primary_somatic_X3,LBXRDW,LBXGH,9919,0.1017195564835698,0.28318139931021197,0.1328940762050328
replication_primary_somatic_X3,LBXRDW,LBXGLU,9919,0.04514409280859195,0.12212326935767093,0.05873058905168236
replication_primary_somatic_X3,LBXRDW,LBXIN,9919,0.06525241709766902,0.07632281659767182,0.07343695355643018
modern_primary_somatic_X3,LBXHGB,LBXGH,2261,-0.01630778551998025,-0.06825799292990423,0.010893199603820364
modern_primary_somatic_X3,LBXHGB,LBXGLU,2261,0.08439407833286196,0.15380444114872954,0.10251702849917715
modern_primary_somatic_X3,LBXHGB,LBXIN,2261,0.025414912141049337,0.09039828623598338,0.0006609676325523308
modern_primary_somatic_X3,LBXRBCSI,LBXGH,2261,0.11888514434268109,0.0793616383580755,0.1108715416749075
modern_primary_somatic_X3,LBXRBCSI,LBXGLU,2261,0.13118311452426723,0.16217382774752045,0.12390687522113358
modern_primary_somatic_X3,LBXRBCSI,LBXIN,2261,0.09666943207836597,0.22299525287460892,0.07918099074346935
modern_primary_somatic_X3,LBXMCVSI,LBXGH,2261,-0.1569026864232121,-0.14385035088460574,-0.11526917867195108
modern_primary_somatic_X3,LBXMCVSI,LBXGLU,2261,-0.06785074976195894,-0.02276875912673772,-0.04690528783284979
modern_primary_somatic_X3,LBXMCVSI,LBXIN,2261,-0.09681684617751125,-0.22579778244930288,-0.10884051297764716
modern_primary_somatic_X3,LBXRDW,LBXGH,2261,0.1797396186685291,0.35087320519677917,0.14635791681607474
modern_primary_somatic_X3,LBXRDW,LBXGLU,2261,0.08431203097060475,0.12569497062390858,0.05283381217551959
modern_primary_somatic_X3,LBXRDW,LBXIN,2261,0.09075719246537399,0.1699182265886246,0.12034566168648904
