cohort,variable,n,missing_n,missing_pct,mean,sd,median,q1,q3,iqr,min,max,weighted_mean,weighted_sd,weighted_q1,weighted_median,weighted_q3
discovery_primary_somatic_X3,RIDAGEYR,3830,0,0.0,50.20731070496083,17.83354593135742,50.0,35.0,64.75,29.75,20.0,85.0,46.61470169046942,16.4535184302806,34.0,46.0,58.0
discovery_primary_somatic_X3,INDFMPIR,3830,0,0.0,2.6626057441253264,1.5977653658117075,2.33,1.24,4.25,3.01,5.397605346934028e-79,5.0,3.151758716192183,1.5828791952846344,1.76,3.25439597280545,5.0
discovery_primary_somatic_X3,BMXBMI,3830,0,0.0,28.860146214099217,6.693419210354836,27.84,24.32,32.18,7.859999999999999,15.25,130.21,28.61895712847459,6.698854601360258,24.02,27.50020972850329,31.97
discovery_primary_somatic_X3,EGFR_2021,3830,0,0.0,92.83983874219837,22.12648000303745,94.94715065274438,78.31921278039484,109.72519353264398,31.40598075224915,4.98052397648589,139.79223326589988,95.255378704137,20.22193397477338,82.29221680290215,97.00497486480735,110.43641694259243
replication_primary_somatic_X3,RIDAGEYR,9919,0,0.0,49.970964815001516,17.50613535139009,50.0,35.0,64.0,29.0,20.0,80.0,47.68258541988022,16.87706681462304,33.0,47.0,61.0
replication_primary_somatic_X3,INDFMPIR,9919,0,0.0,2.489071478979736,1.6235512520117725,2.07,1.09,4.04,2.95,5.397605346934028e-79,5.0,2.959606222742086,1.642270270654305,1.44,2.9,4.96
replication_primary_somatic_X3,BMXBMI,9919,0,0.0,29.315499546325235,7.105866778933474,28.06,24.4,32.8,8.399999999999999,13.6,86.2,29.253245770988833,7.040597064881386,24.27612905542207,28.0,32.86246998612062
replication_primary_somatic_X3,EGFR_2021,9919,0,0.0,94.82509002725365,22.24560867708212,97.88520137183168,81.42354286146939,111.13309345555294,29.709550594083552,2.015401041198761,163.58712903325946,96.63924628927428,20.680997294745858,84.2378915975729,98.96901182025009,111.883894368309
modern_primary_somatic_X3,RIDAGEYR,2261,0,0.0,54.54312251216276,16.726046742315848,58.0,40.0,68.0,28.0,20.0,80.0,49.11813397029938,17.08423791633271,34.0,49.0,63.0
modern_primary_somatic_X3,INDFMPIR,2261,0,0.0,3.137770897832817,1.6324330293389016,3.19,1.69,5.0,3.31,5.397605346934028e-79,5.0,3.2424609628932286,1.6156866905331664,1.84,3.38,5.0
modern_primary_somatic_X3,BMXBMI,2261,0,0.0,29.728969482529852,7.0669557758319,28.4,24.7,33.4,8.7,16.1,69.9,29.669069923144328,7.171512448306541,24.6,28.3,33.2
modern_primary_somatic_X3,EGFR_2021,2261,0,0.0,91.27462293972145,20.25965055263158,93.38660009139988,78.25821236105439,105.24360610037972,26.985393739325332,7.527198792878205,139.81349756728957,95.73458951444091,19.91451015531355,83.45085631703977,97.56011359861338,109.79348023762051
