cohort,variable,n,missing_n,missing_pct
discovery_primary_somatic_X3,DPQ010,3830,5,0.13054830287206268
discovery_primary_somatic_X3,DPQ020,3830,2,0.05221932114882506
discovery_primary_somatic_X3,DPQ030,3830,0,0.0
discovery_primary_somatic_X3,DPQ040,3830,0,0.0
discovery_primary_somatic_X3,DPQ050,3830,0,0.0
discovery_primary_somatic_X3,DPQ060,3830,4,0.10443864229765012
discovery_primary_somatic_X3,DPQ070,3830,0,0.0
discovery_primary_somatic_X3,DPQ080,3830,5,0.13054830287206268
discovery_primary_somatic_X3,DPQ090,3830,2,0.05221932114882506
discovery_primary_somatic_X3,PHQ9_TOTAL_RAW,3830,15,0.39164490861618795
discovery_primary_somatic_X3,SOMATIC_SCORE_RAW,3830,0,0.0
discovery_primary_somatic_X3,COGAFF_SUM_RAW,3830,15,0.39164490861618795
discovery_primary_somatic_X3,LBXHGB,3830,0,0.0
discovery_primary_somatic_X3,LBXRBCSI,3830,0,0.0
discovery_primary_somatic_X3,LBXMCVSI,3830,0,0.0
discovery_primary_somatic_X3,LBXRDW,3830,0,0.0
discovery_primary_somatic_X3,LBXGH,3830,0,0.0
discovery_primary_somatic_X3,LBXGLU,3830,0,0.0
discovery_primary_somatic_X3,LBXIN,3830,0,0.0
discovery_primary_somatic_X3,A,3830,0,0.0
discovery_primary_somatic_X3,G_HBA1C,3830,0,0.0
discovery_primary_somatic_X3,RIDAGEYR,3830,0,0.0
discovery_primary_somatic_X3,INDFMPIR,3830,0,0.0
discovery_primary_somatic_X3,BMXBMI,3830,0,0.0
discovery_primary_somatic_X3,EGFR_2021,3830,0,0.0
discovery_primary_somatic_X3,RIAGENDR,3830,0,0.0
discovery_primary_somatic_X3,RACE,3830,0,0.0
discovery_primary_somatic_X3,EDUC3,3830,0,0.0
discovery_primary_somatic_X3,SMOKING3,3830,0,0.0
replication_primary_somatic_X3,DPQ010,9919,8,0.08065329166246597
replication_primary_somatic_X3,DPQ020,9919,0,0.0
replication_primary_somatic_X3,DPQ030,9919,0,0.0
replication_primary_somatic_X3,DPQ040,9919,0,0.0
