cohort,score,item,item_label,n,weighted_n,pct,weighted_pct
discovery_full_PHQ9_X3,0.0,DPQ010,Little interest / pleasure,2999,146719136.7125,78.61074705111402,80.03880745682154
discovery_full_PHQ9_X3,1.0,DPQ010,Little interest / pleasure,577,26977775.436,15.124508519003932,14.717023437552784
discovery_full_PHQ9_X3,2.0,DPQ010,Little interest / pleasure,142,6195149.268,3.7221494102228045,3.3796024877065403
discovery_full_PHQ9_X3,3.0,DPQ010,Little interest / pleasure,97,3417937.0385,2.54259501965924,1.864566617919128
discovery_full_PHQ9_X3,0.0,DPQ020,Feeling down / depressed,2926,143818691.123,76.69724770642202,78.45654483397175
discovery_full_PHQ9_X3,1.0,DPQ020,Feeling down / depressed,635,29941079.6875,16.644823066841415,16.33357696789797
discovery_full_PHQ9_X3,2.0,DPQ020,Feeling down / depressed,132,5506521.4975,3.4600262123197902,3.0039395253455163
discovery_full_PHQ9_X3,3.0,DPQ020,Feeling down / depressed,122,4043706.147,3.197903014416776,2.205938672784765
discovery_full_PHQ9_X3,0.0,DPQ030,Sleep problems,2435,115423910.0585,63.82699868938401,62.966510845743606
discovery_full_PHQ9_X3,1.0,DPQ030,Sleep problems,837,44101570.537,21.939711664482306,24.05846430020363
discovery_full_PHQ9_X3,2.0,DPQ030,Sleep problems,254,11810925.9615,6.657929226736567,6.443143342450803
discovery_full_PHQ9_X3,3.0,DPQ030,Sleep problems,289,11973591.898,7.575360419397117,6.531881511601969
discovery_full_PHQ9_X3,0.0,DPQ040,Tired / little energy,1918,89250264.1465,50.27522935779817,48.688159346861646
discovery_full_PHQ9_X3,1.0,DPQ040,Tired / little energy,1328,68480923.5715,34.809960681520316,37.357986006590416
discovery_full_PHQ9_X3,2.0,DPQ040,Tired / little energy,266,12729208.3415,6.972477064220183,6.9440884014980995
discovery_full_PHQ9_X3,3.0,DPQ040,Tired / little energy,303,12849602.3955,7.942332896461337,7.009766245049855
discovery_full_PHQ9_X3,0.0,DPQ050,Appetite problems,2988,144938951.7965,78.3224115334207,79.06767389563883
discovery_full_PHQ9_X3,1.0,DPQ050,Appetite problems,526,25361160.6045,13.787680209698559,13.835121279937058
discovery_full_PHQ9_X3,2.0,DPQ050,Appetite problems,150,6988987.9645,3.9318479685452163,3.812660533198191
discovery_full_PHQ9_X3,3.0,DPQ050,Appetite problems,151,6020898.0895,3.958060288335518,3.284544291225906
discovery_full_PHQ9_X3,0.0,DPQ060,Feeling bad about self,3174,153110888.162,83.19790301441678,83.52566114913068
discovery_full_PHQ9_X3,1.0,DPQ060,Feeling bad about self,466,23630041.3775,12.214941022280472,12.890754228717556
discovery_full_PHQ9_X3,2.0,DPQ060,Feeling bad about self,82,3389512.1015,2.1494102228047183,1.8490601331449341
discovery_full_PHQ9_X3,3.0,DPQ060,Feeling bad about self,93,3179556.814,2.437745740498034,1.7345244890068205
discovery_full_PHQ9_X3,0.0,DPQ070,Concentration problems,3212,155349631.386,84.19397116644824,84.74694926372831
discovery_full_PHQ9_X3,1.0,DPQ070,Concentration problems,416,19722055.3165,10.9043250327654,10.758854117464566
discovery_full_PHQ9_X3,2.0,DPQ070,Concentration problems,100,4907120.914,2.6212319790301444,2.6769521331945394
discovery_full_PHQ9_X3,3.0,DPQ070,Concentration problems,87,3331190.8385,2.2804718217562256,1.8172444856125838
discovery_full_PHQ9_X3,0.0,DPQ080,Psychomotor change,3465,168648376.968,90.8256880733945,92.00173388763668
discovery_full_PHQ9_X3,1.0,DPQ080,Psychomotor change,244,10998852.614,6.395806028833552,6.0001378575648525
discovery_full_PHQ9_X3,2.0,DPQ080,Psychomotor change,65,2503187.415,1.7038007863695936,1.3655487622594122
discovery_full_PHQ9_X3,3.0,DPQ080,Psychomotor change,41,1159581.4579999999,1.0747051114023591,0.6325794925390612
discovery_full_PHQ9_X3,0.0,DPQ090,Death / self-harm thoughts,3676,178022576.3205,96.3564875491481,97.11558443125622
discovery_full_PHQ9_X3,1.0,DPQ090,Death / self-harm thoughts,102,4078053.706,2.673656618610747,2.224676089886665
discovery_full_PHQ9_X3,2.0,DPQ090,Death / self-harm thoughts,25,976901.105,0.6553079947575361,0.532922979233899
discovery_full_PHQ9_X3,3.0,DPQ090,Death / self-harm thoughts,12,232467.3235,0.3145478374836173,0.12681649962321476
replication_full_PHQ9_X3,0.0,DPQ010,Little interest / pleasure,7364,145281706.3326419,74.4364702314768,76.65835432683144
replication_full_PHQ9_X3,1.0,DPQ010,Little interest / pleasure,1679,31095790.066490635,16.971596078034974,16.407792509897188
replication_full_PHQ9_X3,2.0,DPQ010,Little interest / pleasure,456,7448623.527724513,4.609319721014859,3.9302898902364194
replication_full_PHQ9_X3,3.0,DPQ010,Little interest / pleasure,394,5692305.831718596,3.982613969473365,3.0035632730349553
replication_full_PHQ9_X3,0.0,DPQ020,Feeling down / depressed,7442,146352669.4732473,75.22490649954513,77.22345143352105
replication_full_PHQ9_X3,1.0,DPQ020,Feeling down / depressed,1694,31244595.216177102,17.123218437278883,16.48631002031384
replication_full_PHQ9_X3,2.0,DPQ020,Feeling down / depressed,405,6740562.897593327,4.093803699585566,3.5566794471900147
replication_full_PHQ9_X3,3.0,DPQ020,Feeling down / depressed,352,5180598.171557921,3.5580713635904173,2.7335590989751037
replication_full_PHQ9_X3,0.0,DPQ030,Sleep problems,6149,117272297.8237827,62.155059132720105,61.879100860184394
replication_full_PHQ9_X3,1.0,DPQ030,Sleep problems,2178,43638591.639084935,22.015566562215707,23.02604164445488
replication_full_PHQ9_X3,2.0,DPQ030,Sleep problems,703,14339324.814110348,7.106034569897908,7.56619033569695
