cohort,variable,n,missing_n,missing_pct,mean,sd,median,q1,q3,iqr,min,max,weighted_mean,weighted_sd,weighted_q1,weighted_median,weighted_q3
discovery_primary_somatic_X3,LBXHGB,3830,0,0.0,14.420469973890338,1.588614751254902,14.5,13.4,15.6,2.1999999999999993,6.2,19.7,14.55215666219208,1.510377300658112,13.6,14.6,15.6
discovery_primary_somatic_X3,LBXRBCSI,3830,0,0.0,4.758167101827677,0.5010740444058486,4.76,4.43,5.1,0.6699999999999999,2.56,6.53,4.777753593763559,0.4834620774611324,4.45,4.77,5.11
discovery_primary_somatic_X3,LBXMCVSI,3830,0,0.0,89.21806788511749,5.86072286719627,89.6,86.325,92.8,6.474999999999994,51.1,121.9,89.48890769105836,5.431622770282842,86.6,89.7,92.8
discovery_primary_somatic_X3,LBXRDW,3830,0,0.0,12.901906005221932,1.2753725367048674,12.6,12.2,13.3,1.1000000000000014,10.7,37.8,12.724413298916941,1.0773363738110318,12.1,12.5,13.1
discovery_primary_somatic_X3,LBXGH,3830,0,0.0,5.68532637075718,1.0840585337906787,5.5,5.2,5.8,0.5999999999999996,3.8,15.6,5.513495899013905,0.8887499678335066,5.1,5.4,5.7
discovery_primary_somatic_X3,LBXGLU,3830,0,0.0,108.89608355091384,36.30889013822288,100.0,93.0,111.0,18.0,38.0,470.0,104.47015668106306,29.013973878329278,92.0,99.0,107.0
discovery_primary_somatic_X3,LBXIN,3830,0,0.0,12.375287206266318,11.630399271384613,9.14,5.69,15.1575,9.467500000000001,1.0,196.79,11.292967843694457,9.807048856875628,5.3483332572274245,8.54,14.049600553317433
discovery_primary_somatic_X3,A,3830,0,0.0,0.08242819843342035,0.4004135423509465,0.0,0.0,0.0,0.0,0.0,5.8,0.05408451254607177,0.3246648657708342,0.0,0.0,0.0
discovery_primary_somatic_X3,G_HBA1C,3830,0,0.0,0.30203655352480413,0.9347369253339631,0.0,0.0,0.0999999999999996,0.0999999999999996,0.0,9.9,0.18994756684196062,0.7308935627944508,0.0,0.0,0.0
replication_primary_somatic_X3,LBXHGB,9919,0,0.0,14.123893537655006,1.5144939740842098,14.2,13.2,15.1,1.9000000000000004,6.1,19.6,14.31519615502439,1.4404063095792305,13.4,14.4,15.3
replication_primary_somatic_X3,LBXRBCSI,9919,0,0.0,4.700133077931243,0.4981740225655469,4.69,4.37,5.03,0.6600000000000001,2.52,8.3,4.7290442156155645,0.4745579327128523,4.41,4.72,5.05
replication_primary_somatic_X3,LBXMCVSI,9919,0,0.0,89.33020465772759,5.9452955086923165,89.8,86.4,92.9,6.5,50.8,115.3,89.67220272723408,5.465616800018729,86.8,90.0,93.0
replication_primary_somatic_X3,LBXRDW,9919,0,0.0,13.469291259199515,1.3611498776655206,13.2,12.6,13.9,1.3000000000000007,10.9,31.8,13.328697415560491,1.2486859121988352,12.6,13.1,13.7
replication_primary_somatic_X3,LBXGH,9919,0,0.0,5.808488758947474,1.1197517786658928,5.5,5.3,5.9,0.6000000000000005,3.6,17.0,5.651793316513589,0.9454441754812394,5.2,5.5,5.8
replication_primary_somatic_X3,LBXGLU,9919,0,0.0,110.23026514769634,35.79341263729543,101.0,94.0,112.0,18.0,21.0,454.0,107.0985405538665,30.427474290245943,94.0,100.0,109.0
replication_primary_somatic_X3,LBXIN,9919,0,0.0,14.137433208992844,19.320017428750347,10.05,6.295,16.295,10.000000000000002,0.14,682.48,13.085189387360156,16.16212246878056,6.04,9.55,15.52022163479626
replication_primary_somatic_X3,A,9919,0,0.0,0.09819538259905232,0.44220725598327215,0.0,0.0,0.0,0.0,0.0,6.7,0.06437546172410825,0.3517359056639013,0.0,0.0,0.0
replication_primary_somatic_X3,G_HBA1C,9919,0,0.0,0.36352454884564966,0.9890193242866885,0.0,0.0,0.2000000000000001,0.2000000000000001,0.0,11.3,0.25263926467167547,0.8059955831060822,0.0,0.0,0.0999999999999996
modern_primary_somatic_X3,LBXHGB,2261,0,0.0,14.031578947368422,1.3817561711248285,14.1,13.1,15.0,1.9000000000000004,6.6,18.6,14.15440543118627,1.4000441267589925,13.2,14.2,15.2
modern_primary_somatic_X3,LBXRBCSI,2261,0,0.0,4.687310924369748,0.46245126527266284,4.67,4.38,4.96,0.5800000000000001,3.16,7.08,4.745072892985345,0.4641211212431575,4.44,4.73,5.03
modern_primary_somatic_X3,LBXMCVSI,2261,0,0.0,88.9938080495356,5.467272431247139,89.3,86.1,92.3,6.200000000000003,52.5,109.3,88.5985930636812,5.464107132203193,85.8,89.0,91.97528953966057
modern_primary_somatic_X3,LBXRDW,2261,0,0.0,13.824723573639982,1.283273598772635,13.5,13.1,14.2,1.0999999999999996,11.6,26.8,13.758482756912954,1.3411861677405592,13.0,13.5,14.1
modern_primary_somatic_X3,LBXGH,2261,0,0.0,5.742326404245909,0.985599714812208,5.5,5.2,5.9,0.7000000000000002,3.6,13.6,5.665481358735631,0.9836349553564437,5.2,5.5,5.8
modern_primary_somatic_X3,LBXGLU,2261,0,0.0,109.046881910659,30.942374577216217,101.0,94.0,111.0,17.0,59.0,460.0,107.86250479207429,31.883118075293233,94.0,100.0,109.0
modern_primary_somatic_X3,LBXIN,2261,0,0.0,13.965121627598407,21.809116502208006,9.27,5.85,15.54,9.69,0.35,526.3,13.271025027362386,20.583997425766967,5.946352520358783,9.15,15.44
modern_primary_somatic_X3,A,2261,0,0.0,0.07678018575851393,0.3471572032728304,0.0,0.0,0.0,0.0,0.0,6.4,0.06774393272096414,0.32849910102092217,0.0,0.0,0.0
modern_primary_somatic_X3,G_HBA1C,2261,0,0.0,0.3126934984520124,0.8408502062136689,0.0,0.0,0.2000000000000001,0.2000000000000001,0.0,7.899999999999999,0.2749008303578665,0.8361337479241374,0.0,0.0,0.0999999999999996
