period,definition,analytic_n,n,percent,weighted_n,weighted_percent
2005-2008,Anaemia,3815,278,7.287024901703801,9048335.0575,4.936083756348531
2005-2008,HbA1c >= 5.7% dysglycaemia,3815,1306,34.233289646133684,46795527.75749999,25.528082566095065
2005-2008,HbA1c >= 6.5% diabetes-range,3815,387,10.144167758846658,11714295.8975,6.390429325313476
2005-2008,PHQ-9 >= 10,3815,287,7.522935779816514,11475749.478500001,6.260296533316012
2005-2008,Anaemia + diabetes-range,3815,56,1.4678899082568808,1399143.303,0.7632662237698233
2005-2008,Anaemia + PHQ-9 >= 10,3815,25,0.655307994757536,762591.3175,0.4160118509232355
2005-2008,Diabetes-range + PHQ-9 >= 10,3815,43,1.1271297509829619,1209141.323,0.6596155873607882
2005-2008,All three,3815,3,0.07863695937090433,68964.2055,0.03762162788786981
2005-2008,Anaemia + dysglycaemia,3815,150,3.9318479685452163,4345560.501,2.370607461472852
2005-2008,Dysglycaemia + PHQ-9 >= 10,3815,118,3.09305373525557,3897098.6689999998,2.12596077783323
2005-2008,Anaemia + dysglycaemia + PHQ-9 >= 10,3815,15,0.39318479685452157,357586.0435,0.19507176177724003
2009-2018,Anaemia,9893,913,9.228747599312644,11989541.563334621,6.326319731363693
2009-2018,HbA1c >= 5.7% dysglycaemia,9893,4101,41.453553017284946,62880500.76508502,33.17909618201844
2009-2018,HbA1c >= 6.5% diabetes-range,9893,1227,12.402708986151824,16959159.440246735,8.948554406973981
2009-2018,PHQ-9 >= 10,9893,878,8.87496209441019,14536161.691482417,7.6700519399627085
2009-2018,Anaemia + diabetes-range,9893,172,1.7386030526634992,1668644.923720382,0.8804658001148874
2009-2018,Anaemia + PHQ-9 >= 10,9893,104,1.0512483574244416,1302070.0045886764,0.6870413783656907
2009-2018,Diabetes-range + PHQ-9 >= 10,9893,154,1.5566562215708077,1989760.5593963386,1.0499034863929597
2009-2018,All three,9893,26,0.2628120893561104,162299.2159085106,0.08563769736841359
2009-2018,Anaemia + dysglycaemia,9893,519,5.24613362983928,5988773.569094799,3.159995417397461
2009-2018,Dysglycaemia + PHQ-9 >= 10,9893,402,4.063479227736783,5704349.701184915,3.0099182590570854
2009-2018,Anaemia + dysglycaemia + PHQ-9 >= 10,9893,59,0.596381279692712,649820.987725538,0.34288011053518036
2021-2023,Anaemia,2247,186,8.277703604806408,12585936.95365246,7.294775620615197
2021-2023,HbA1c >= 5.7% dysglycaemia,2247,872,38.80729862038274,56406038.22392507,32.69278989769358
2021-2023,HbA1c >= 6.5% diabetes-range,2247,268,11.927013796172675,16875543.512484096,9.781020185690279
2021-2023,PHQ-9 >= 10,2247,279,12.416555407209612,20735595.41480062,12.01829601306969
2021-2023,Anaemia + diabetes-range,2247,40,1.7801513128615931,2268155.7475572354,1.3146170453553059
2021-2023,Anaemia + PHQ-9 >= 10,2247,25,1.1125945705384956,1425459.813316573,0.8261927207041022
2021-2023,Diabetes-range + PHQ-9 >= 10,2247,40,1.7801513128615931,2604354.9121008767,1.5094771879267679
2021-2023,All three,2247,3,0.13351134846461948,166987.11248208303,0.09678528675115622
2021-2023,Anaemia + dysglycaemia,2247,94,4.183355585224744,5420544.378207307,3.141733120563135
2021-2023,Dysglycaemia + PHQ-9 >= 10,2247,110,4.895416110369381,6941677.263723973,4.02337769973472
2021-2023,Anaemia + dysglycaemia + PHQ-9 >= 10,2247,9,0.4005340453938585,571060.9585947423,0.33098541443377877
