period,combination,analytic_n,n,percent,weighted_n,weighted_percent
2005-2008,None,3815,2984,78.2175622542595,154373529.7595,84.21446241918794
2005-2008,Anaemia only,3815,200,5.242463958060288,6955564.6425,3.7944273095433427
2005-2008,Diabetes-range only,3815,291,7.627785058977719,9174975.477,5.005169142070734
2005-2008,PHQ-9 >= 10 only,3815,222,5.81913499344692,9572981.0435,5.222290722919857
2005-2008,Anaemia + diabetes-range,3815,53,1.3892529488859764,1330179.0975000001,0.7256445958819535
2005-2008,Anaemia + PHQ-9 >= 10,3815,22,0.5766710353866317,693627.112,0.37839022303536574
2005-2008,Diabetes-range + PHQ-9 >= 10,3815,40,1.0484927916120577,1140177.1175,0.6219939594729184
2005-2008,All three,3815,3,0.07863695937090433,68964.2055,0.03762162788786981
2009-2018,None,9893,7279,73.57727686242798,150831739.33530876,79.58684688920474
2009-2018,Anaemia only,9893,663,6.701708278580814,9181125.850934073,4.844450250251528
2009-2018,Diabetes-range only,9893,927,9.370261801273628,13463053.173038524,7.103822817834548
2009-2018,PHQ-9 >= 10 only,9893,646,6.529869604771051,11406630.343405914,6.0187447725724725
2009-2018,Anaemia + diabetes-range,9893,146,1.475790963307389,1506345.7078118713,0.7948281027464738
2009-2018,Anaemia + PHQ-9 >= 10,9893,78,0.7884362680683311,1139770.7886801658,0.6014036809972771
2009-2018,Diabetes-range + PHQ-9 >= 10,9893,128,1.2938441322146972,1827461.343487828,0.9642657890245461
2009-2018,All three,9893,26,0.2628120893561104,162299.2159085106,0.08563769736841359
2021-2023,None,2247,1616,71.91811303960837,128467479.56207879,74.45940984785986
2021-2023,Anaemia only,2247,124,5.518469069870939,9059308.505260732,5.250751141306943
2021-2023,Diabetes-range only,2247,191,8.500222518914107,12170019.96530807,7.053711239159363
2021-2023,PHQ-9 >= 10 only,2247,217,9.657320872274143,16872767.801865254,9.779411391189974
2021-2023,Anaemia + diabetes-range,2247,37,1.6466399643969738,2101168.6350751524,1.2178317586041498
2021-2023,Anaemia + PHQ-9 >= 10,2247,22,0.9790832220738763,1258472.70083449,0.7294074339529459
2021-2023,Diabetes-range + PHQ-9 >= 10,2247,37,1.6466399643969738,2437367.7996187937,1.4126919011756118
2021-2023,All three,2247,3,0.13351134846461948,166987.11248208303,0.09678528675115622
