period,physiological_stratum,n,PHQ9_mean,PHQ10_n,PHQ10_percent,PHQ10_weighted_percent
2005-2008,Neither anaemia nor diabetes-range,3206,2.7769806612601373,222,6.924516531503431,5.839088002917611
2005-2008,Anaemia only,222,3.671171171171171,22,9.90990990990991,9.067979131153837
2005-2008,Diabetes-range only,331,3.7341389728096677,40,12.084592145015106,11.053419782737272
2005-2008,Anaemia + diabetes-range,56,3.4642857142857144,3,5.357142857142857,4.92903088283588
2009-2018,Neither anaemia nor diabetes-range,7925,3.090473186119874,646,8.15141955835962,7.0307846201825095
2009-2018,Anaemia only,741,3.6302294197031038,78,10.526315789473683,11.043331102701236
2009-2018,Diabetes-range only,1055,3.691943127962085,128,12.132701421800949,11.951601376871029
2009-2018,Anaemia + diabetes-range,172,4.4186046511627906,26,15.11627906976744,9.726408153188817
2021-2023,Neither anaemia nor diabetes-range,1833,3.818330605564648,217,11.838516093835242,11.60915032682891
2021-2023,Anaemia only,146,4.445205479452055,22,15.068493150684931,12.197125289796299
2021-2023,Diabetes-range only,228,4.4298245614035086,37,16.228070175438596,16.685856765376265
2021-2023,Anaemia + diabetes-range,40,3.15,3,7.5,7.362241885810763
