period,outcome,contrast,delta_R2
2005-2008,COGAFF_SUM,continuous_Hb_margin_beyond_G_PCs_X,0.001435419478481706
2005-2008,COGAFF_SUM,frozen_A_PCs_beyond_G_PCs_X,0.005461021505955302
2005-2008,COGAFF_SUM,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.006906609853930212
2005-2008,COGAFF_SUM,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.005471190375448506
2005-2008,COGAFF_SUM,A_PCs_beyond_continuous_Hb_margin_descriptive,0.005471190375448506
2005-2008,PHQ9_TOTAL,continuous_Hb_margin_beyond_G_PCs_X,0.001965258308376988
2005-2008,PHQ9_TOTAL,frozen_A_PCs_beyond_G_PCs_X,0.009297490733764902
2005-2008,PHQ9_TOTAL,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.010478851429291891
2005-2008,PHQ9_TOTAL,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.008513593120914903
2005-2008,PHQ9_TOTAL,A_PCs_beyond_continuous_Hb_margin_descriptive,0.008513593120914903
2005-2008,SOMATIC_SCORE,continuous_Hb_margin_beyond_G_PCs_X,0.0017506394277249093
2005-2008,SOMATIC_SCORE,frozen_A_PCs_beyond_G_PCs_X,0.01030571815547611
2005-2008,SOMATIC_SCORE,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.010913198462137008
2005-2008,SOMATIC_SCORE,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.009162559034412099
2005-2008,SOMATIC_SCORE,A_PCs_beyond_continuous_Hb_margin_descriptive,0.009162559034412099
2009-2018,COGAFF_SUM,continuous_Hb_margin_beyond_G_PCs_X,9.753923500971373e-07
2009-2018,COGAFF_SUM,frozen_A_PCs_beyond_G_PCs_X,0.0015869201250048037
2009-2018,COGAFF_SUM,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.001912980154880603
2009-2018,COGAFF_SUM,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.0019120047625305059
2009-2018,COGAFF_SUM,A_PCs_beyond_continuous_Hb_margin_descriptive,0.0019120047625305059
2009-2018,PHQ9_TOTAL,continuous_Hb_margin_beyond_G_PCs_X,2.874873447740456e-05
2009-2018,PHQ9_TOTAL,frozen_A_PCs_beyond_G_PCs_X,0.0027852838026150017
2009-2018,PHQ9_TOTAL,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.0028934175830099967
2009-2018,PHQ9_TOTAL,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.002864668848532592
2009-2018,PHQ9_TOTAL,A_PCs_beyond_continuous_Hb_margin_descriptive,0.002864668848532592
2009-2018,SOMATIC_SCORE,continuous_Hb_margin_beyond_G_PCs_X,8.23209449492962e-05
2009-2018,SOMATIC_SCORE,frozen_A_PCs_beyond_G_PCs_X,0.0033531009029793973
2009-2018,SOMATIC_SCORE,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.0033554591016694973
2009-2018,SOMATIC_SCORE,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.003273138156720201
2009-2018,SOMATIC_SCORE,A_PCs_beyond_continuous_Hb_margin_descriptive,0.003273138156720201
2021-2023,COGAFF_SUM,continuous_Hb_margin_beyond_G_PCs_X,0.0004943246184608008
2021-2023,COGAFF_SUM,frozen_A_PCs_beyond_G_PCs_X,0.005296006922377805
2021-2023,COGAFF_SUM,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.005338400171856397
2021-2023,COGAFF_SUM,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.0048440755533955965
2021-2023,COGAFF_SUM,A_PCs_beyond_continuous_Hb_margin_descriptive,0.0048440755533955965
2021-2023,PHQ9_TOTAL,continuous_Hb_margin_beyond_G_PCs_X,0.0013709411345114025
2021-2023,PHQ9_TOTAL,frozen_A_PCs_beyond_G_PCs_X,0.008821288235024302
2021-2023,PHQ9_TOTAL,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.008821799215365494
2021-2023,PHQ9_TOTAL,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.007450858080854092
2021-2023,PHQ9_TOTAL,A_PCs_beyond_continuous_Hb_margin_descriptive,0.007450858080854092
2021-2023,SOMATIC_SCORE,continuous_Hb_margin_beyond_G_PCs_X,0.002722466878185892
2021-2023,SOMATIC_SCORE,frozen_A_PCs_beyond_G_PCs_X,0.011635365912527895
2021-2023,SOMATIC_SCORE,raw_Hb_RBC_MCV_RDW_beyond_G_PCs_X,0.011686487814368901
2021-2023,SOMATIC_SCORE,RBC_MCV_RDW_beyond_continuous_Hb_margin,0.00896402093618301
2021-2023,SOMATIC_SCORE,A_PCs_beyond_continuous_Hb_margin_descriptive,0.00896402093618301
