"period","outcome","model","weighted_R2","n","design_df"
"2005-2008","SOMATIC_SCORE","base_Gpcs_X",0.0784799888946728,3550,31
"2005-2008","SOMATIC_SCORE","continuous_Hb_margin",0.0802306283223977,3550,31
"2005-2008","SOMATIC_SCORE","frozen_A_PCs",0.0887857070501489,3550,31
"2005-2008","SOMATIC_SCORE","raw_Hb_RBC_MCV_RDW",0.0893931873568098,3550,31
"2005-2008","SOMATIC_SCORE","Hb_margin_plus_A_PCs",0.0893931873568098,3550,31
"2005-2008","PHQ9_TOTAL","base_Gpcs_X",0.0929146943366991,3537,31
"2005-2008","PHQ9_TOTAL","continuous_Hb_margin",0.0948799526450761,3537,31
"2005-2008","PHQ9_TOTAL","frozen_A_PCs",0.102212185070464,3537,31
"2005-2008","PHQ9_TOTAL","raw_Hb_RBC_MCV_RDW",0.103393545765991,3537,31
"2005-2008","PHQ9_TOTAL","Hb_margin_plus_A_PCs",0.103393545765991,3537,31
"2005-2008","COGAFF_SUM","base_Gpcs_X",0.075107246561337,3537,31
"2005-2008","COGAFF_SUM","continuous_Hb_margin",0.0765426660398187,3537,31
"2005-2008","COGAFF_SUM","frozen_A_PCs",0.0805682680672923,3537,31
"2005-2008","COGAFF_SUM","raw_Hb_RBC_MCV_RDW",0.0820138564152672,3537,31
"2005-2008","COGAFF_SUM","Hb_margin_plus_A_PCs",0.0820138564152672,3537,31
"2009-2018","SOMATIC_SCORE","base_Gpcs_X",0.0847372118737226,9002,78
"2009-2018","SOMATIC_SCORE","continuous_Hb_margin",0.0848195328186719,9002,78
"2009-2018","SOMATIC_SCORE","frozen_A_PCs",0.088090312776702,9002,78
"2009-2018","SOMATIC_SCORE","raw_Hb_RBC_MCV_RDW",0.0880926709753921,9002,78
"2009-2018","SOMATIC_SCORE","Hb_margin_plus_A_PCs",0.0880926709753921,9002,78
"2009-2018","PHQ9_TOTAL","base_Gpcs_X",0.0882312192469408,8980,78
"2009-2018","PHQ9_TOTAL","continuous_Hb_margin",0.0882599679814182,8980,78
"2009-2018","PHQ9_TOTAL","frozen_A_PCs",0.0910165030495558,8980,78
"2009-2018","PHQ9_TOTAL","raw_Hb_RBC_MCV_RDW",0.0911246368299508,8980,78
"2009-2018","PHQ9_TOTAL","Hb_margin_plus_A_PCs",0.0911246368299508,8980,78
"2009-2018","COGAFF_SUM","base_Gpcs_X",0.0684188895664852,8980,78
"2009-2018","COGAFF_SUM","continuous_Hb_margin",0.0684198649588353,8980,78
"2009-2018","COGAFF_SUM","frozen_A_PCs",0.07000580969149,8980,78
"2009-2018","COGAFF_SUM","raw_Hb_RBC_MCV_RDW",0.0703318697213658,8980,78
"2009-2018","COGAFF_SUM","Hb_margin_plus_A_PCs",0.0703318697213658,8980,78
"2021-2023","SOMATIC_SCORE","base_Gpcs_X",0.0981206855125591,2070,15
"2021-2023","SOMATIC_SCORE","continuous_Hb_margin",0.100843152390745,2070,15
"2021-2023","SOMATIC_SCORE","frozen_A_PCs",0.109756051425087,2070,15
"2021-2023","SOMATIC_SCORE","raw_Hb_RBC_MCV_RDW",0.109807173326928,2070,15
"2021-2023","SOMATIC_SCORE","Hb_margin_plus_A_PCs",0.109807173326928,2070,15
"2021-2023","PHQ9_TOTAL","base_Gpcs_X",0.0866336191163934,2061,15
"2021-2023","PHQ9_TOTAL","continuous_Hb_margin",0.0880045602509048,2061,15
"2021-2023","PHQ9_TOTAL","frozen_A_PCs",0.0954549073514177,2061,15
"2021-2023","PHQ9_TOTAL","raw_Hb_RBC_MCV_RDW",0.0954554183317589,2061,15
"2021-2023","PHQ9_TOTAL","Hb_margin_plus_A_PCs",0.0954554183317589,2061,15
"2021-2023","COGAFF_SUM","base_Gpcs_X",0.0676081509937113,2061,15
"2021-2023","COGAFF_SUM","continuous_Hb_margin",0.0681024756121721,2061,15
"2021-2023","COGAFF_SUM","frozen_A_PCs",0.0729041579160891,2061,15
"2021-2023","COGAFF_SUM","raw_Hb_RBC_MCV_RDW",0.0729465511655677,2061,15
"2021-2023","COGAFF_SUM","Hb_margin_plus_A_PCs",0.0729465511655677,2061,15
