subgroup,component,component_label,reference_period,comparison_period,correlation_profile_cosine_similarity
All analytic participants,A_OI_PC1_FZ,Haematology PC1,2005-2008,2009-2018,0.9990019827028449
All analytic participants,A_OI_PC1_FZ,Haematology PC1,2005-2008,2021-2023,0.9974582057893361
All analytic participants,A_OI_PC2_FZ,Haematology PC2,2005-2008,2009-2018,0.9984183698777488
All analytic participants,A_OI_PC2_FZ,Haematology PC2,2005-2008,2021-2023,0.997310932312552
All analytic participants,A_OI_PC3_FZ,Haematology PC3,2005-2008,2009-2018,0.9631513800630448
All analytic participants,A_OI_PC3_FZ,Haematology PC3,2005-2008,2021-2023,0.9184015075128984
Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,2005-2008,2009-2018,0.9988422892754386
Non-anaemic only (A = 0),A_OI_PC1_FZ,Haematology PC1,2005-2008,2021-2023,0.9969289071238364
Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,2005-2008,2009-2018,0.9983559584371728
Non-anaemic only (A = 0),A_OI_PC2_FZ,Haematology PC2,2005-2008,2021-2023,0.9985649745490953
Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,2005-2008,2009-2018,0.9814655642682001
Non-anaemic only (A = 0),A_OI_PC3_FZ,Haematology PC3,2005-2008,2021-2023,0.9678946638468575
