period,component,component_label,quintile,n,weighted_mean_component,weighted_mean_Hb,weighted_mean_RBC,weighted_mean_MCV,weighted_mean_RDW,weighted_mean_somatic_PHQ,weighted_mean_total_PHQ9
2005-2008,A_OI_PC1_FZ,Haematology PC1,1,792,-1.0035363537490083,12.993024605673982,4.33704674649816,88.50730655112936,13.223723181546282,2.026796960044932,3.584724715441889
2005-2008,A_OI_PC1_FZ,Haematology PC1,2,720,-0.315870892117009,13.922934742878464,4.5676956334004855,89.58216468735822,12.603081108363615,1.6711351233369742,2.9227400031363855
2005-2008,A_OI_PC1_FZ,Haematology PC1,3,695,0.16052395890237228,14.708550442963919,4.793330335179336,90.18251654919945,12.53169674264975,1.447262529056387,2.4023610617782247
2005-2008,A_OI_PC1_FZ,Haematology PC1,4,695,0.6259557666561887,15.461712745946809,5.037962644590605,90.09413404739975,12.442481592095323,1.3062174411814846,2.148876351525116
2005-2008,A_OI_PC1_FZ,Haematology PC1,5,648,1.2751733535052223,16.540919894349823,5.325918945230248,90.72932143611996,12.277357388566694,1.4089324054276169,2.350890922302932
2005-2008,A_OI_PC2_FZ,Haematology PC2,1,781,-1.2353241034629698,15.19484036599719,5.306726325852634,84.43129461335982,13.221254003145573,1.5993649000870405,2.7998719416600135
2005-2008,A_OI_PC2_FZ,Haematology PC2,2,710,-0.3677043715340038,15.126667629865642,5.0096606500125,88.15044895792896,12.654430254848519,1.4962597093190324,2.5722051428325385
2005-2008,A_OI_PC2_FZ,Haematology PC2,3,689,0.04203788019405528,14.763753944865403,4.818757566873826,89.71647011972814,12.511383319866408,1.4642992056296096,2.457463856756996
2005-2008,A_OI_PC2_FZ,Haematology PC2,4,677,0.48192148431147697,14.419532353003838,4.60327015941875,91.5585628827455,12.437977736189072,1.4855869252057516,2.5063258676933677
2005-2008,A_OI_PC2_FZ,Haematology PC2,5,693,1.211720249581546,14.13157713453682,4.327040903505981,95.22862660380729,12.252569269623779,1.8131076627888896,3.0696782298963874
2005-2008,A_OI_PC3_FZ,Haematology PC3,1,652,-1.1425010869286174,13.849913034368955,4.688981080295953,86.39025205164543,12.158588168776781,1.564411133894815,2.708349949841666
2005-2008,A_OI_PC3_FZ,Haematology PC3,2,639,-0.5199629782203666,14.519822713121421,4.818808735581388,88.26513636965525,12.35484283147667,1.5040142587469283,2.419874466545813
2005-2008,A_OI_PC3_FZ,Haematology PC3,3,689,-0.09383845636329344,14.799485126472403,4.8381168129714345,89.82525131161657,12.50441003771732,1.515941848871142,2.6471885579275196
2005-2008,A_OI_PC3_FZ,Haematology PC3,4,707,0.3595236683080448,15.107481782712286,4.878077459587664,91.03777697523486,12.725546455148686,1.398215824677114,2.4127626612235717
2005-2008,A_OI_PC3_FZ,Haematology PC3,5,863,1.3274555335407499,15.356131488265985,4.839935871666346,93.5716577660366,13.331907350575257,1.876555337224655,3.220585010135173
2009-2018,A_OI_PC1_FZ,Haematology PC1,1,2141,-1.1711725825680996,12.94187099711999,4.363662998688348,88.80632541671807,13.904591014527922,2.0200063918933364,3.5766855814154894
