"period","outcome","A_component","G_component","interaction","beta","se","t","p","df_den","n","design_df","BH_p"
"2005-2008","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC1_FZ","A_OI_PC1_FZ:G3_OI_PC1_FZ",0.0288580047789728,0.0444561496349903,0.649134147152038,0.529571888965383,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC2_FZ","A_OI_PC1_FZ:G3_OI_PC2_FZ",-0.00389484508856133,0.0391434413021558,-0.0995018567349833,0.922530032201521,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC3_FZ","A_OI_PC1_FZ:G3_OI_PC3_FZ",0.028543114791403,0.0350034863292801,0.815436340337533,0.432124729416063,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC1_FZ","A_OI_PC2_FZ:G3_OI_PC1_FZ",0.00942462126610206,0.0470021431857889,0.200514713315277,0.844737213886804,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC2_FZ","A_OI_PC2_FZ:G3_OI_PC2_FZ",0.0983472255416822,0.0355411813319912,2.76713440172452,0.0183206369045748,11,3830,31,0.164885732141173
"2005-2008","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC3_FZ","A_OI_PC2_FZ:G3_OI_PC3_FZ",0.0315823727211722,0.0309432636171526,1.02065422419325,0.329341420104466,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC1_FZ","A_OI_PC3_FZ:G3_OI_PC1_FZ",0.0545372895340014,0.0592388712025763,0.920633503422151,0.376990355020052,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC2_FZ","A_OI_PC3_FZ:G3_OI_PC2_FZ",0.00873505518041867,0.0372863114951504,0.234269758261146,0.819078810035389,11,3830,31,0.922530032201521
"2005-2008","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC3_FZ","A_OI_PC3_FZ:G3_OI_PC3_FZ",0.00200177905156295,0.018087509898965,0.110671898052561,0.913869973231029,11,3830,31,0.922530032201521
"2005-2008","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC1_FZ","A_OI_PC1_FZ:G3_OI_PC1_FZ",0.0688608322331561,0.0932821888661038,0.738199146806023,0.475848091795355,11,3815,31,0.713772137693033
"2005-2008","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC2_FZ","A_OI_PC1_FZ:G3_OI_PC2_FZ",0.0252447253364939,0.08053259151031,0.313472159073162,0.759785911957032,11,3815,31,0.855938204320305
"2005-2008","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC3_FZ","A_OI_PC1_FZ:G3_OI_PC3_FZ",0.119582365628351,0.0717043766065506,1.66771362206399,0.123557688733051,11,3815,31,0.650279464932628
"2005-2008","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC1_FZ","A_OI_PC2_FZ:G3_OI_PC1_FZ",0.0123845172886983,0.0870551840895672,0.14226053759138,0.889446417817384,11,3815,31,0.889446417817384
"2005-2008","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC2_FZ","A_OI_PC2_FZ:G3_OI_PC2_FZ",0.120182758074644,0.0765057350400141,1.57089867853418,0.144506547762806,11,3815,31,0.650279464932628
"2005-2008","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC3_FZ","A_OI_PC2_FZ:G3_OI_PC3_FZ",0.0539879095350473,0.0593342484454053,0.909894554149831,0.382382918755563,11,3815,31,0.688289253760013
"2005-2008","PHQ9_TOTAL","A_OI_PC3_FZ","G3_OI_PC1_FZ","A_OI_PC3_FZ:G3_OI_PC1_FZ",0.0979789324014004,0.0996550688629555,0.983180620106137,0.346649474068417,11,3815,31,0.688289253760013
"2005-2008","PHQ9_TOTAL","A_OI_PC3_FZ","G3_OI_PC2_FZ","A_OI_PC3_FZ:G3_OI_PC2_FZ",0.0861373653973743,0.0756618356161335,1.13845196453319,0.279119332807816,11,3815,31,0.688289253760013
"2005-2008","PHQ9_TOTAL","A_OI_PC3_FZ","G3_OI_PC3_FZ","A_OI_PC3_FZ:G3_OI_PC3_FZ",0.0113008384837441,0.0362142330773615,0.312055165150206,0.760833959395827,11,3815,31,0.855938204320305
"2009-2018","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC1_FZ","A_OI_PC1_FZ:G3_OI_PC1_FZ",-0.0144889969524912,0.02063081317464,-0.702298878373901,0.48530184095553,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC2_FZ","A_OI_PC1_FZ:G3_OI_PC2_FZ",0.0172127623792672,0.0281340853002176,0.611811693736997,0.543053273603064,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC1_FZ","G3_OI_PC3_FZ","A_OI_PC1_FZ:G3_OI_PC3_FZ",-0.0120599729620344,0.0222493252530545,-0.542037694396093,0.589869025192401,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC1_FZ","A_OI_PC2_FZ:G3_OI_PC1_FZ",-0.00667885935440319,0.0157988068394903,-0.422744541550372,0.67404489954178,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC2_FZ","A_OI_PC2_FZ:G3_OI_PC2_FZ",0.0248523748530671,0.0218409100773929,1.13788183573867,0.259848539662089,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC2_FZ","G3_OI_PC3_FZ","A_OI_PC2_FZ:G3_OI_PC3_FZ",0.00355023594902311,0.017586127938142,0.201877068193227,0.840719234024422,58,9919,78,0.840719234024422
"2009-2018","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC1_FZ","A_OI_PC3_FZ:G3_OI_PC1_FZ",0.0145689640842972,0.0237453644387608,0.61354982029737,0.541911712635652,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC2_FZ","A_OI_PC3_FZ:G3_OI_PC2_FZ",-0.0227500269435966,0.0320854867216619,-0.709044158841991,0.481137563562877,58,9919,78,0.758300511984502
"2009-2018","SOMATIC_SCORE","A_OI_PC3_FZ","G3_OI_PC3_FZ","A_OI_PC3_FZ:G3_OI_PC3_FZ",-0.0226581256205753,0.021261400317309,-1.06569300621884,0.29097872435143,58,9919,78,0.758300511984502
"2009-2018","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC1_FZ","A_OI_PC1_FZ:G3_OI_PC1_FZ",-0.0578861706025212,0.0416701536668875,-1.38915183911404,0.170097277668068,58,9893,78,0.713968434769799
"2009-2018","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC2_FZ","A_OI_PC1_FZ:G3_OI_PC2_FZ",0.0299412002888663,0.0567036016756001,0.528029955842296,0.599493048587778,58,9893,78,0.982655925818539
"2009-2018","PHQ9_TOTAL","A_OI_PC1_FZ","G3_OI_PC3_FZ","A_OI_PC1_FZ:G3_OI_PC3_FZ",-0.0494287869476098,0.0429005758973495,-1.15217070898723,0.253977904331106,58,9893,78,0.713968434769799
"2009-2018","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC1_FZ","A_OI_PC2_FZ:G3_OI_PC1_FZ",0.0325023860722382,0.0322227943135486,1.00867683156119,0.317319304342133,58,9893,78,0.713968434769799
"2009-2018","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC2_FZ","A_OI_PC2_FZ:G3_OI_PC2_FZ",0.0015625009658943,0.0449233144432549,0.0347815156841996,0.97237338777182,58,9893,78,0.982655925818539
"2009-2018","PHQ9_TOTAL","A_OI_PC2_FZ","G3_OI_PC3_FZ","A_OI_PC2_FZ:G3_OI_PC3_FZ",-0.000742217745290566,0.0339948640464576,-0.0218332317574869,0.982655925818539,58,9893,78,0.982655925818539
"2009-2018","PHQ9_TOTAL","A_OI_PC3_FZ","G3_OI_PC1_FZ","A_OI_PC3_FZ:G3_OI_PC1_FZ",0.021407074079715,0.0548721443315457,0.390126435562101,0.697872136573457,58,9893,78,0.982655925818539
