"block","component","base_beta","extended_beta","signed_percent_change","absolute_magnitude_attenuation_percent","base_p","extended_p","n","design_df"
"social_behavioral_extra","A_OI_PC1_FZ",-0.239527979838349,-0.237766767282884,0.73528468642934,0.73528468642934,0.000706420314113316,0.000958317670681423,3830,31
"social_behavioral_extra","A_OI_PC2_FZ",0.0152643720168545,0.0152834769462832,0.125160271301058,-0.125160271301058,0.765960393435261,0.766966838522083,3830,31
"social_behavioral_extra","A_OI_PC3_FZ",0.11746127457767,0.111865051862767,-4.76431294911867,4.76431294911867,0.0453480075945151,0.0533061106847401,3830,31
"social_behavioral_extra","G3_OI_PC1_FZ",0.152508269887284,0.152211591178036,-0.1945328666226,0.1945328666226,0.0111432884670479,0.0125273235007277,3830,31
"social_behavioral_extra","G3_OI_PC2_FZ",0.0906318888909337,0.0907675764407023,0.149712812376574,-0.149712812376574,0.159896716004036,0.161106422498185,3830,31
"social_behavioral_extra","G3_OI_PC3_FZ",-0.0101941932646488,-0.0109549730883748,-7.4628742459126,-7.4628742459126,0.796270917139762,0.782580755201184,3830,31
"inflammation","A_OI_PC1_FZ",-0.239527979838349,-0.252737811814323,-5.51494317485972,-5.51494317485972,0.000706420314113316,0.000472979467464262,3830,31
"inflammation","A_OI_PC2_FZ",0.0152643720168545,0.0271084003990823,77.5926344637686,-77.5926344637686,0.765960393435261,0.607104982437902,3830,31
"inflammation","A_OI_PC3_FZ",0.11746127457767,0.106106626570425,-9.6667161565127,9.6667161565127,0.0453480075945151,0.0689098955685081,3830,31
"inflammation","G3_OI_PC1_FZ",0.152508269887284,0.131657307462741,-13.6720208287418,13.6720208287418,0.0111432884670479,0.0306887780546981,3830,31
"inflammation","G3_OI_PC2_FZ",0.0906318888909337,0.0742759355841133,-18.0465766596822,18.0465766596822,0.159896716004036,0.23825805967173,3830,31
"inflammation","G3_OI_PC3_FZ",-0.0101941932646488,-0.000365176130851761,96.4178025531642,96.4178025531642,0.796270917139762,0.992615943951473,3830,31
"systemic_nutrition_liver","A_OI_PC1_FZ",-0.241482728866403,-0.184505469426194,23.5947554956327,23.5947554956327,0.000672840820364204,0.0178543709168519,3814,31
"systemic_nutrition_liver","A_OI_PC2_FZ",0.0197616712216076,0.0130722618502817,-33.8504233589903,33.8504233589903,0.707640494369949,0.80224548859272,3814,31
"systemic_nutrition_liver","A_OI_PC3_FZ",0.116427036635783,0.112833390942055,-3.08660754200102,3.08660754200102,0.0436509737423951,0.0708278373729872,3814,31
"systemic_nutrition_liver","G3_OI_PC1_FZ",0.153691663482957,0.137784528680197,-10.3500309920998,10.3500309920998,0.0109426679402535,0.0256816111339296,3814,31
"systemic_nutrition_liver","G3_OI_PC2_FZ",0.0947943696512504,0.0797069697103541,-15.9159241170156,15.9159241170156,0.137937001479304,0.236361764358822,3814,31
"systemic_nutrition_liver","G3_OI_PC3_FZ",-0.0111456575787352,0.00169171118510404,115.178208850877,84.8217911491228,0.778007811126718,0.96752269867332,3814,31
"clinical_comorbidity","A_OI_PC1_FZ",-0.243011137279625,-0.233779487529518,3.79885870806159,3.79885870806159,0.000690535495139014,0.00128526492006702,3756,31
"clinical_comorbidity","A_OI_PC2_FZ",0.00843885280897581,0.00359712880218966,-57.3741966637497,57.3741966637497,0.870895441395309,0.946165835404576,3756,31
"clinical_comorbidity","A_OI_PC3_FZ",0.111466815875643,0.114465727103308,2.69040718899691,-2.69040718899691,0.0563724259006459,0.0560733027339127,3756,31
"clinical_comorbidity","G3_OI_PC1_FZ",0.149103039121514,0.0983223837216376,-34.0574247842742,34.0574247842742,0.0132604169023958,0.116586433989482,3756,31
"clinical_comorbidity","G3_OI_PC2_FZ",0.0786272318221869,0.0942473939312466,19.866096957838,-19.866096957838,0.217511581221712,0.14487651683095,3756,31
"clinical_comorbidity","G3_OI_PC3_FZ",-0.00987609143261628,-0.00415882653455162,57.8899551211435,57.8899551211435,0.803315476408372,0.913934160478228,3756,31
