block,component,base_beta,extended_beta,signed_percent_change,absolute_magnitude_attenuation_percent,base_p,extended_p,n,design_df,rank_abs_attenuation
clinical_comorbidity,G3_OI_PC1_FZ,0.149103039121514,0.0983223837216376,-34.0574247842742,34.0574247842742,0.0132604169023958,0.116586433989482,3756,31,34.0574247842742
clinical_comorbidity,G3_OI_PC2_FZ,0.0786272318221869,0.0942473939312466,19.866096957838,-19.866096957838,0.217511581221712,0.14487651683095,3756,31,19.866096957838
inflammation,G3_OI_PC2_FZ,0.0906318888909337,0.0742759355841133,-18.0465766596822,18.0465766596822,0.159896716004036,0.23825805967173,3830,31,18.0465766596822
systemic_nutrition_liver,G3_OI_PC2_FZ,0.0947943696512504,0.0797069697103541,-15.9159241170156,15.9159241170156,0.137937001479304,0.236361764358822,3814,31,15.9159241170156
inflammation,G3_OI_PC1_FZ,0.152508269887284,0.131657307462741,-13.6720208287418,13.6720208287418,0.0111432884670479,0.0306887780546981,3830,31,13.6720208287418
systemic_nutrition_liver,G3_OI_PC1_FZ,0.153691663482957,0.137784528680197,-10.3500309920998,10.3500309920998,0.0109426679402535,0.0256816111339296,3814,31,10.3500309920998
inflammation,A_OI_PC3_FZ,0.11746127457767,0.106106626570425,-9.6667161565127,9.6667161565127,0.0453480075945151,0.0689098955685081,3830,31,9.6667161565127
social_behavioral_extra,A_OI_PC3_FZ,0.11746127457767,0.111865051862767,-4.76431294911867,4.76431294911867,0.0453480075945151,0.0533061106847401,3830,31,4.76431294911867
systemic_nutrition_liver,A_OI_PC3_FZ,0.116427036635783,0.112833390942055,-3.08660754200102,3.08660754200102,0.0436509737423951,0.0708278373729872,3814,31,3.08660754200102
clinical_comorbidity,A_OI_PC3_FZ,0.111466815875643,0.114465727103308,2.69040718899691,-2.69040718899691,0.0563724259006459,0.0560733027339127,3756,31,2.69040718899691
social_behavioral_extra,G3_OI_PC1_FZ,0.152508269887284,0.152211591178036,-0.1945328666226,0.1945328666226,0.0111432884670479,0.0125273235007277,3830,31,0.1945328666226
social_behavioral_extra,G3_OI_PC2_FZ,0.0906318888909337,0.0907675764407023,0.149712812376574,-0.149712812376574,0.159896716004036,0.161106422498185,3830,31,0.149712812376574
