stem,found_file,requested,found_columns,cycle
DEMO_D,True,DMDMARTL,DMDMARTL,0506
CBC_D,True,LBXHGB;LBXRBCSI;LBXMCVSI;LBXRDW;LBXWBCSI;LBXPLTSI,LBXHGB;LBXRBCSI;LBXMCVSI;LBXRDW;LBXWBCSI;LBXPLTSI,0506
CRP_D,False,LBXCRP,,0506
BIOPRO_D,True,LBXSAL;LBXSATSI;LBXSASSI;LBXSBU;LBXSCH;LBXSUA;LBXSTR,LBXSAL;LBXSATSI;LBXSASSI;LBXSBU;LBXSCH;LBXSUA;LBXSTR,0506
ALQ_D,False,ALQ130,,0506
SLQ_D,False,SLD010H,,0506
BPQ_D,False,BPQ020,,0506
DIQ_D,True,DIQ010;DIQ050,DIQ010;DIQ050,0506
MCQ_D,False,MCQ160B;MCQ160C;MCQ160D;MCQ160E;MCQ220,,0506
GHB_D,True,LBXGH,LBXGH,0506
GLU_D,True,LBXGLU;LBXIN,LBXGLU;LBXIN,0506
FERTIN_D,False,LBXFER,,0506
TFR_D,False,LBXTFR,,0506
FETIB_D,False,LBXIRN;LBXTIB;LBDPCT,,0506
