component,variable,label,n,weighted_correlation
G3_OI_PC1_FZ,LBXGH,HbA1c,3830,0.9212631218013145
G3_OI_PC1_FZ,LBXGLU,fasting glucose,3830,0.941217398645443
G3_OI_PC1_FZ,LOG_IN,log insulin,3830,0.37597940856792134
G3_OI_PC1_FZ,BMXBMI,BMI,3830,0.34098999914554795
G3_OI_PC1_FZ,DIABETES_SELFREPORT,self-reported diabetes,3756,0.5801583146323774
G3_OI_PC1_FZ,INSULIN_USE,insulin use,3830,0.42376112395941096
G3_OI_PC1_FZ,LBXTR,fasting triglycerides,3821,0.2839137275464779
G3_OI_PC1_FZ,TYG_FASTING,TyG,3821,0.5366081485876634
G3_OI_PC2_FZ,LBXGH,HbA1c,3830,-0.2458732672776897
G3_OI_PC2_FZ,LBXGLU,fasting glucose,3830,-0.12957803721951897
G3_OI_PC2_FZ,LOG_IN,log insulin,3830,0.9281518255531687
G3_OI_PC2_FZ,BMXBMI,BMI,3830,0.4857638731285718
G3_OI_PC2_FZ,DIABETES_SELFREPORT,self-reported diabetes,3756,-0.13610310314166374
G3_OI_PC2_FZ,INSULIN_USE,insulin use,3830,-0.16033695023324168
G3_OI_PC2_FZ,LBXTR,fasting triglycerides,3821,0.19867621075307312
G3_OI_PC2_FZ,TYG_FASTING,TyG,3821,0.24733596249576828
G3_OI_PC3_FZ,LBXGH,HbA1c,3830,-0.32269286777606504
G3_OI_PC3_FZ,LBXGLU,fasting glucose,3830,0.28375526808397794
G3_OI_PC3_FZ,LOG_IN,log insulin,3830,-0.03930736888354342
G3_OI_PC3_FZ,BMXBMI,BMI,3830,-0.10716817931353911
G3_OI_PC3_FZ,DIABETES_SELFREPORT,self-reported diabetes,3756,-0.10140620478072873
G3_OI_PC3_FZ,INSULIN_USE,insulin use,3830,-0.15284345998278548
G3_OI_PC3_FZ,LBXTR,fasting triglycerides,3821,0.027795951811559243
G3_OI_PC3_FZ,TYG_FASTING,TyG,3821,0.07168198317518269
