"analysis","target","component","beta","se","p","n","design_df","base_beta","attenuation_percent","iron_CRP_block_p"
"LOG_FERRITIN_on_A_PCs","LOG_FERRITIN","A_OI_PC1_FZ",0.462683656158705,0.0572983422953094,4.91217680037868e-07,812,31,NA,NA,NA
"LOG_FERRITIN_on_A_PCs","LOG_FERRITIN","A_OI_PC2_FZ",0.212766093964882,0.0349470888581279,1.56854003235205e-05,812,31,NA,NA,NA
"LOG_FERRITIN_on_A_PCs","LOG_FERRITIN","A_OI_PC3_FZ",-0.135553982425329,0.0448463212800643,0.00808826134229164,812,31,NA,NA,NA
"LOG_TFR_on_A_PCs","LOG_TFR","A_OI_PC1_FZ",-0.118600977458145,0.0226811298773046,8.27024239782677e-05,812,31,NA,NA,NA
"LOG_TFR_on_A_PCs","LOG_TFR","A_OI_PC2_FZ",-0.0939922428764502,0.0111132681739219,2.67485628055291e-07,812,31,NA,NA,NA
"LOG_TFR_on_A_PCs","LOG_TFR","A_OI_PC3_FZ",0.0580377210205761,0.0111267138685883,8.48688561310833e-05,812,31,NA,NA,NA
"LOG_CRP_on_A_PCs","LOG_CRP","A_OI_PC1_FZ",-0.0470477974072009,0.108384981966142,0.67002667509276,812,31,NA,NA,NA
"LOG_CRP_on_A_PCs","LOG_CRP","A_OI_PC2_FZ",-0.01580147064305,0.0595220158778611,0.794035442882205,812,31,NA,NA,NA
"LOG_CRP_on_A_PCs","LOG_CRP","A_OI_PC3_FZ",-0.188285953693812,0.0779369880480585,0.0280191406711118,812,31,NA,NA,NA
"PHQ_A_PC_attenuation_after_iron_CRP","SOMATIC_SCORE","A_OI_PC1_FZ",-0.21445764829105,0.170293331714499,0.236506971069185,812,31,-0.150453549071365,-42.5407706330185,0.105013833059089
"PHQ_A_PC_attenuation_after_iron_CRP","SOMATIC_SCORE","A_OI_PC2_FZ",0.0686038026929142,0.0986831008030734,0.502768102208204,812,31,0.080419157317594,14.692213918654,0.105013833059089
"PHQ_A_PC_attenuation_after_iron_CRP","SOMATIC_SCORE","A_OI_PC3_FZ",0.147674007321036,0.130404910098933,0.28387751726612,812,31,0.136278091826356,-8.36225055836671,0.105013833059089
