domain,period,metric,value,n
A,2005-2008,max_abs_PCA_roundtrip_error,7.460698725481052e-14,4615
A,2005-2008,PCA_decoder_R2__LBXHGB,0.9872365323176816,4615
A,2005-2008,ICA_roundtrip_R2__LBXHGB,0.9872365323176816,4615
A,2005-2008,PCA_decoder_R2__LBXRBCSI,0.9876401429492013,4615
A,2005-2008,ICA_roundtrip_R2__LBXRBCSI,0.9876401429492013,4615
A,2005-2008,PCA_decoder_R2__LBXMCVSI,0.9953744140273687,4615
A,2005-2008,ICA_roundtrip_R2__LBXMCVSI,0.9953744140273687,4615
A,2005-2008,PCA_decoder_R2__LBXRDW,0.9999059668017568,4615
A,2005-2008,ICA_roundtrip_R2__LBXRDW,0.9999059668017568,4615
A,2005-2008,PCA_decoder_global_R2,0.9949312289428355,4615
A,2005-2008,ICA_roundtrip_global_R2,0.9949312289428355,4615
G,2005-2008,max_abs_PCA_roundtrip_error,7.993605777301127e-15,4519
G,2005-2008,PCA_decoder_R2__LBXGH,1.0,4519
G,2005-2008,ICA_roundtrip_R2__LBXGH,1.0,4519
G,2005-2008,PCA_decoder_R2__LBXGLU,1.0,4519
G,2005-2008,ICA_roundtrip_R2__LBXGLU,1.0,4519
G,2005-2008,PCA_decoder_R2__LOG_IN,1.0,4519
G,2005-2008,ICA_roundtrip_R2__LOG_IN,1.0,4519
G,2005-2008,PCA_decoder_global_R2,1.0,4519
G,2005-2008,ICA_roundtrip_global_R2,1.0,4519
