domain,period,source,raw_variable,weighted_correlation,n
A,2005-2008,A_ICA1,LBXHGB,0.9022797101148465,4615
A,2005-2008,A_ICA1,LBXRBCSI,0.9475165063153717,4615
A,2005-2008,A_ICA1,LBXMCVSI,-0.05413751178049372,4615
A,2005-2008,A_ICA1,LBXRDW,-0.09793012907466261,4615
A,2005-2008,A_ICA2,LBXHGB,0.3355790411289697,4615
A,2005-2008,A_ICA2,LBXRBCSI,-0.2975731015404225,4615
A,2005-2008,A_ICA2,LBXMCVSI,0.9896335173723327,4615
A,2005-2008,A_ICA2,LBXRDW,-0.2869726598030174,4615
A,2005-2008,A_ICA3,LBXHGB,-0.23694670818850355,4615
A,2005-2008,A_ICA3,LBXRBCSI,-0.09827431607990764,4615
A,2005-2008,A_ICA3,LBXMCVSI,-0.10385888022597266,4615
A,2005-2008,A_ICA3,LBXRDW,0.9492839843243336,4615
G,2005-2008,G_ICA1,LBXGH,-0.1359839861066037,4519
G,2005-2008,G_ICA1,LBXGLU,-0.21794325325228794,4519
G,2005-2008,G_ICA1,LOG_IN,-0.9998763140484314,4519
G,2005-2008,G_ICA2,LBXGH,0.5755632663275211,4519
G,2005-2008,G_ICA2,LBXGLU,-0.004143224551766929,4519
G,2005-2008,G_ICA2,LOG_IN,-0.036923854952041306,4519
G,2005-2008,G_ICA3,LBXGH,-0.8487591856012473,4519
G,2005-2008,G_ICA3,LBXGLU,-0.9787213394025351,4519
G,2005-2008,G_ICA3,LOG_IN,-0.03354294515232625,4519
