period,A_source,G_source,weighted_correlation,n
2005-2008,A_ICA1,G_ICA1,-0.1725861228856957,4506
2005-2008,A_ICA1,G_ICA2,-0.09420372551241786,4506
2005-2008,A_ICA1,G_ICA3,-0.02922565613976427,4506
2005-2008,A_ICA2,G_ICA1,0.20082530693573455,4506
2005-2008,A_ICA2,G_ICA2,-0.1555720315308641,4506
2005-2008,A_ICA2,G_ICA3,0.053478259247421105,4506
2005-2008,A_ICA3,G_ICA1,-0.03449701024063313,4506
2005-2008,A_ICA3,G_ICA2,0.1531206792163661,4506
2005-2008,A_ICA3,G_ICA3,-0.042525538445998226,4506
2009-2018,A_ICA1,G_ICA1,-0.15480745393961798,12230
2009-2018,A_ICA1,G_ICA2,-0.0779659876186815,12230
2009-2018,A_ICA1,G_ICA3,-0.07306729845623282,12230
2009-2018,A_ICA2,G_ICA1,0.15183943103793904,12230
2009-2018,A_ICA2,G_ICA2,-0.13309853903967084,12230
2009-2018,A_ICA2,G_ICA3,0.011141085995060264,12230
2009-2018,A_ICA3,G_ICA1,-0.054838952289814356,12230
2009-2018,A_ICA3,G_ICA2,0.11899599684137979,12230
2009-2018,A_ICA3,G_ICA3,-0.06208950363371175,12230
2021-2023,A_ICA1,G_ICA1,-0.16039461224074142,3010
2021-2023,A_ICA1,G_ICA2,0.021907437614454572,3010
2021-2023,A_ICA1,G_ICA3,-0.12919382209865807,3010
2021-2023,A_ICA2,G_ICA1,0.19815118231717568,3010
2021-2023,A_ICA2,G_ICA2,-0.1664611585680674,3010
2021-2023,A_ICA2,G_ICA3,0.007855553776629859,3010
2021-2023,A_ICA3,G_ICA1,-0.11450712238676876,3010
2021-2023,A_ICA3,G_ICA2,0.13739057929966297,3010
2021-2023,A_ICA3,G_ICA3,-0.033548631556001574,3010
