domain,period,frozen_source,local_source,weighted_alignment_correlation,absolute_alignment,n,local_fit_warning
A,2009-2018,A_ICA1,A_ICA1,0.9638779621291101,0.9638779621291101,12642,
A,2009-2018,A_ICA2,A_ICA2,-0.9525996118520351,0.9525996118520351,12642,
A,2009-2018,A_ICA3,A_ICA3,0.943105126161762,0.943105126161762,12642,
A,2021-2023,A_ICA1,A_ICA1,0.9988554550487179,0.9988554550487179,3235,
A,2021-2023,A_ICA2,A_ICA3,0.9915397947476989,0.9915397947476989,3235,
A,2021-2023,A_ICA3,A_ICA2,-0.9988031067076124,0.9988031067076124,3235,
G,2009-2018,G_ICA1,G_ICA1,0.998706655850169,0.998706655850169,12258,
G,2009-2018,G_ICA2,G_ICA2,-0.9995633471658647,0.9995633471658647,12258,
G,2009-2018,G_ICA3,G_ICA3,0.9913244208227351,0.9913244208227351,12258,
G,2021-2023,G_ICA1,G_ICA1,-0.9902166878597493,0.9902166878597493,3024,
G,2021-2023,G_ICA2,G_ICA2,-0.9968310252716089,0.9968310252716089,3024,
G,2021-2023,G_ICA3,G_ICA3,0.9868506084892354,0.9868506084892354,3024,
