domain,period,source_i,source_j,weighted_correlation,n
A,2005-2008,A_ICA1,A_ICA2,-0.0104708647971156,4615
A,2005-2008,A_ICA1,A_ICA3,-0.01043498880976373,4615
A,2005-2008,A_ICA2,A_ICA3,0.014496109773393523,4615
A,2009-2018,A_ICA1,A_ICA2,-0.08133527785516928,12642
A,2009-2018,A_ICA1,A_ICA3,0.06642745123336878,12642
A,2009-2018,A_ICA2,A_ICA3,-0.06567531642118726,12642
A,2021-2023,A_ICA1,A_ICA2,-0.09792756775914546,3235
A,2021-2023,A_ICA1,A_ICA3,0.0017223052600150713,3235
A,2021-2023,A_ICA2,A_ICA3,-0.08077777983011633,3235
G,2005-2008,G_ICA1,G_ICA2,0.023310079427686488,4519
G,2005-2008,G_ICA1,G_ICA3,0.026736235783069766,4519
G,2005-2008,G_ICA2,G_ICA3,-0.07488274146524261,4519
G,2009-2018,G_ICA1,G_ICA2,-0.09042000732750355,12258
G,2009-2018,G_ICA1,G_ICA3,0.08694807663082256,12258
G,2009-2018,G_ICA2,G_ICA3,-0.1252174584964693,12258
G,2021-2023,G_ICA1,G_ICA2,-0.12963131636785472,3024
G,2021-2023,G_ICA1,G_ICA3,0.08780462733012176,3024
G,2021-2023,G_ICA2,G_ICA3,-0.2124769577363682,3024
