domain,space,variable,test,epsilon,R2_equivalent,RMSE_raw_units,n_test
A,X_raw,LBXHGB,g__S_to_X,0.11458065603843018,0.9868712732618029,0.17568001980837633,1385
A,X_raw,LBXHGB,cycle__X_to_Z_to_S_to_X,0.1145806560384304,0.9868712732618029,0.17568001980837666,1385
A,X_raw,LBXRBCSI,g__S_to_X,0.11162579373659183,0.9875396821726758,0.05575295079091666,1385
A,X_raw,LBXRBCSI,cycle__X_to_Z_to_S_to_X,0.1116257937365917,0.9875396821726758,0.0557529507909166,1385
A,X_raw,LBXMCVSI,g__S_to_X,0.06951738293812403,0.9951673334694342,0.3800585170129133,1385
A,X_raw,LBXMCVSI,cycle__X_to_Z_to_S_to_X,0.06951738293812393,0.9951673334694342,0.3800585170129128,1385
A,X_raw,LBXRDW,g__S_to_X,0.010644226493283905,0.9998867004423597,0.01117001538988698,1385
A,X_raw,LBXRDW,cycle__X_to_Z_to_S_to_X,0.010644226493283613,0.9998867004423597,0.011170015389886677,1385
A,S_ICA,A_ICA1,cycle__S_to_X_to_Z_to_S,7.895663597879139e-16,1.0,7.789057204126766e-16,1385
A,S_ICA,A_ICA2,cycle__S_to_X_to_Z_to_S,7.002333671956602e-16,1.0,5.702313694973301e-16,1385
A,S_ICA,A_ICA3,cycle__S_to_X_to_Z_to_S,1.2610553589078815e-15,1.0,1.1354867778013713e-15,1385
G,X_raw,LBXGH,g__S_to_X,1.432804033300063e-15,1.0,1.3581757880843687e-15,1356
G,X_raw,LBXGH,cycle__X_to_Z_to_S_to_X,3.740628938254257e-15,1.0,3.5457965905102313e-15,1356
G,X_raw,LBXGLU,g__S_to_X,1.0542609126463784e-15,1.0,3.1288906961630676e-14,1356
G,X_raw,LBXGLU,cycle__X_to_Z_to_S_to_X,3.604528441265142e-15,1.0,1.0697708099240331e-13,1356
G,X_raw,LOG_IN,g__S_to_X,4.331231606322531e-16,1.0,3.367107062723486e-16,1356
G,X_raw,LOG_IN,cycle__X_to_Z_to_S_to_X,5.614177643685438e-15,1.0,4.36447156689636e-15,1356
G,S_ICA,G_ICA1,cycle__S_to_X_to_Z_to_S,5.746949582980684e-15,1.0,5.940903109410747e-15,1356
G,S_ICA,G_ICA2,cycle__S_to_X_to_Z_to_S,8.532138606412151e-15,1.0,8.614713021390425e-15,1356
G,S_ICA,G_ICA3,cycle__S_to_X_to_Z_to_S,2.8009428804118856e-15,1.0,2.190068870392727e-15,1356
