source,rows,variables
D:\Hematological and Glycemic Decomposition of Depression\EDA\Results\60_nonanaemic_model_input.csv,27039,LBXHGB|LBXRBCSI|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\EDA\Results\62_ddx_model_input.csv,27039,LBXHGB|LBXRBCSI|LBXMCVSI|LBXRDW|LBXGH|LBXGLU|LBXIN|LOG_IN
D:\Hematological and Glycemic Decomposition of Depression\EDA\Results\63_deep_ddx_input.csv,27039,LBXHGB|LBXRBCSI|LBXMCVSI|LBXRDW|LBXGH|LBXGLU|LBXIN|LOG_IN
D:\Hematological and Glycemic Decomposition of Depression\Results\32_frozen_transfer_input.csv,33413,LBXHGB|LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Results\33_2123_diagnostic_input.csv,33413,LBXHGB|LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Results\48_comparator_sensitivity_input.csv,27039,LBXHGB|LBXRBCSI|LBXMCVSI|LBXRDW|LBXGH|LBXGLU|LOG_IN
D:\Hematological and Glycemic Decomposition of Depression\Results\50_g4_modifier_input.csv,20007,LBXGH|LBXGLU|LBXIN|LOG_IN
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0506\CBC_D.XPT,9440,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0506\GHB_D.XPT,6980,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0506\GLU_D.XPT,3352,LBXGLU|LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0708\CBC_E.XPT,9307,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0708\GHB_E.XPT,6917,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES\0708\GLU_E.XPT,3315,LBXGLU|LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\0910\CBC_F.XPT,9835,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\0910\GHB_F.XPT,7369,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\0910\GLU_F.XPT,3581,LBXGLU|LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1112\CBC_G.XPT,8956,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1112\GHB_G.XPT,6549,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1112\GLU_G.XPT,3239,LBXGLU|LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1314\CBC_H.XPT,9422,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1314\GHB_H.XPT,6979,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1314\GLU_H.XPT,3329,LBXGLU
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1314\INS_H.XPT,3329,LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1516\CBC_I.XPT,9165,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1516\GHB_I.XPT,6744,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1516\GLU_I.XPT,3191,LBXGLU
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1516\INS_I.XPT,3191,LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1718\CBC_J.XPT,8366,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1718\GHB_J.XPT,6401,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1718\GLU_J.XPT,3036,LBXGLU
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\1718\INS_J.XPT,3036,LBXIN|LBDINSI
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\2123\CBC_L.XPT,8727,LBXRBCSI|LBXHGB|LBXMCVSI|LBXRDW
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\2123\GHB_L.XPT,7199,LBXGH
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\2123\GLU_L.XPT,3996,LBXGLU
D:\Hematological and Glycemic Decomposition of Depression\Data\NHANES_Transfer\2123\INS_L.XPT,3996,LBXIN|LBDINSI
