domain,period,comparison,variable,epsilon,R2_equivalent,RMSE_raw_units,n
A,2005-2008,X0_vs_X1__backward_transfer,LBXHGB,0.11297551806616536,0.9872365323176815,0.17210509856046183,4615
A,2005-2008,X0_vs_X2__full_transfer,LBXHGB,0.11297551806616539,0.9872365323176815,0.17210509856046186,4615
A,2005-2008,X1_vs_X2__g_cycle,LBXHGB,1.4259100925898671e-15,1.0,2.1583016698266242e-15,4615
A,2005-2008,X0_vs_X1__backward_transfer,LBXRBCSI,0.11117489397700647,0.9876401429492013,0.054618431289872704,4615
A,2005-2008,X0_vs_X2__full_transfer,LBXRBCSI,0.11117489397700647,0.9876401429492013,0.054618431289872704,4615
A,2005-2008,X1_vs_X2__g_cycle,LBXRBCSI,1.841370206151116e-15,1.0,8.990275017576553e-16,4615
A,2005-2008,X0_vs_X1__backward_transfer,LBXMCVSI,0.06801166056369469,0.9953744140273688,0.37232468780796063,4615
A,2005-2008,X0_vs_X2__full_transfer,LBXMCVSI,0.06801166056369468,0.9953744140273688,0.3723246878079606,4615
A,2005-2008,X1_vs_X2__g_cycle,LBXMCVSI,1.3515631691243364e-15,1.0,7.381898006710576e-15,4615
A,2005-2008,X0_vs_X1__backward_transfer,LBXRDW,0.009697071632364357,0.9999059668017568,0.010942716204695495,4615
A,2005-2008,X0_vs_X2__full_transfer,LBXRDW,0.009697071632364333,0.9999059668017568,0.010942716204695467,4615
A,2005-2008,X1_vs_X2__g_cycle,LBXRDW,1.2811273666154002e-15,1.0,1.4456275651646499e-15,4615
A,2009-2018,X0_vs_X1__backward_transfer,LBXHGB,0.11719287554758163,0.9862658299208891,0.17014279839559043,12642
A,2009-2018,X0_vs_X2__full_transfer,LBXHGB,0.11719287554758177,0.986265829920889,0.17014279839559066,12642
A,2009-2018,X1_vs_X2__g_cycle,LBXHGB,1.3872870961442605e-15,1.0,1.9834064840411832e-15,12642
