domain,period,test,epsilon,R2_equivalent,weighted_RMSE_standardized,n
A,2005-2008,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.2557288819238901e-15,1.0,1.1589021240897553e-15,4615
A,2005-2008,MAIN_cycle_epsilon_g__X1_vs_X2,1.2896689657928132e-15,1.0,1.284849019049174e-15,4615
A,2005-2008,TRANSFER_forward__Yref_vs_Y1,1.2623563655700531e-15,1.0,1.165018575646672e-15,4615
A,2005-2008,TRANSFER_backward__X0_vs_X1,0.08637555195770318,0.9925392640240022,0.08637555195770318,4615
A,2005-2008,TRANSFER_full__X0_vs_X2,0.08637555195770316,0.9925392640240022,0.08637555195770318,4615
A,2009-2018,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.2384482030387663e-15,1.0,1.1745455386826365e-15,12642
A,2009-2018,MAIN_cycle_epsilon_g__X1_vs_X2,1.263460609702176e-15,1.0,1.2843972967350365e-15,12642
A,2009-2018,TRANSFER_forward__Yref_vs_Y1,1.279011909545871e-15,1.0,1.2130161992992444e-15,12642
A,2009-2018,TRANSFER_backward__X0_vs_X1,0.08371005938037164,0.9929926259585347,0.08539071907788043,12642
A,2009-2018,TRANSFER_full__X0_vs_X2,0.08371005938037164,0.9929926259585347,0.08539071907788044,12642
A,2021-2023,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.2846222879608164e-15,1.0,1.2696196251239496e-15,3235
A,2021-2023,MAIN_cycle_epsilon_g__X1_vs_X2,1.3000672666297278e-15,1.0,1.3806657317908215e-15,3235
A,2021-2023,TRANSFER_forward__Yref_vs_Y1,1.3040532525579676e-15,1.0,1.2888236621540037e-15,3235
A,2021-2023,TRANSFER_backward__X0_vs_X1,0.06985258813039054,0.995120615931486,0.0743650679677184,3235
A,2021-2023,TRANSFER_full__X0_vs_X2,0.06985258813039054,0.995120615931486,0.0743650679677184,3235
G,2005-2008,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.6860124890520498e-15,1.0,1.4537104179137767e-15,4519
G,2005-2008,MAIN_cycle_epsilon_g__X1_vs_X2,1.493346217906284e-15,1.0,1.4933462179062854e-15,4519
G,2005-2008,TRANSFER_forward__Yref_vs_Y1,9.67470599026917e-16,1.0,8.341706232683148e-16,4519
G,2005-2008,TRANSFER_backward__X0_vs_X1,1.4872750245162094e-15,1.0,1.4872750245162092e-15,4519
G,2005-2008,TRANSFER_full__X0_vs_X2,2.9768212238393887e-15,1.0,2.9768212238393887e-15,4519
G,2009-2018,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.6498258249832807e-15,1.0,1.429906190526207e-15,12258
G,2009-2018,MAIN_cycle_epsilon_g__X1_vs_X2,1.4378268805599943e-15,1.0,1.4643931189317886e-15,12258
G,2009-2018,TRANSFER_forward__Yref_vs_Y1,9.87608099392086e-16,1.0,8.559612255729337e-16,12258
G,2009-2018,TRANSFER_backward__X0_vs_X1,1.4341827024619168e-15,1.0,1.4606816085941114e-15,12258
G,2009-2018,TRANSFER_full__X0_vs_X2,2.8679403439959135e-15,1.0,2.9209303025540704e-15,12258
G,2021-2023,MAIN_cycle_epsilon_f__Y1_vs_Y2,1.625776781415649e-15,1.0,1.5354100787072451e-15,3024
G,2021-2023,MAIN_cycle_epsilon_g__X1_vs_X2,1.3943982885354926e-15,1.0,1.6020153003360652e-15,3024
G,2021-2023,TRANSFER_forward__Yref_vs_Y1,9.635668619738086e-16,1.0,9.100082423951498e-16,3024
G,2021-2023,TRANSFER_backward__X0_vs_X1,1.4023784493672241e-15,1.0,1.6111836562188033e-15,3024
G,2021-2023,TRANSFER_full__X0_vs_X2,2.7926676187806917e-15,1.0,3.2084780158032103e-15,3024
