domain,composition,output,input,derivative,identity_target,absolute_identity_error
A,f_after_g__Y_to_X_to_Y,A_ICA1,A_ICA1,0.9999999999999994,1.0,5.551115123125783e-16
A,f_after_g__Y_to_X_to_Y,A_ICA1,A_ICA2,-3.191891195797325e-16,0.0,3.191891195797325e-16
A,f_after_g__Y_to_X_to_Y,A_ICA1,A_ICA3,-2.7755575615628914e-17,0.0,2.7755575615628914e-17
A,f_after_g__Y_to_X_to_Y,A_ICA2,A_ICA1,1.43982048506075e-16,0.0,1.43982048506075e-16
A,f_after_g__Y_to_X_to_Y,A_ICA2,A_ICA2,1.0000000000000007,1.0,6.661338147750939e-16
A,f_after_g__Y_to_X_to_Y,A_ICA2,A_ICA3,-3.3306690738754696e-16,0.0,3.3306690738754696e-16
A,f_after_g__Y_to_X_to_Y,A_ICA3,A_ICA1,-7.355227538141662e-16,0.0,7.355227538141662e-16
A,f_after_g__Y_to_X_to_Y,A_ICA3,A_ICA2,-2.7755575615628914e-16,0.0,2.7755575615628914e-16
A,f_after_g__Y_to_X_to_Y,A_ICA3,A_ICA3,1.0000000000000004,1.0,4.440892098500626e-16
A,g_after_f__X_to_Y_to_X,LBXHGB,LBXHGB,0.572121996053438,1.0,0.42787800394656195
A,g_after_f__X_to_Y_to_X,LBXHGB,LBXRBCSI,0.4187479942631552,0.0,0.4187479942631552
A,g_after_f__X_to_Y_to_X,LBXHGB,LBXMCVSI,0.260881936889579,0.0,0.260881936889579
A,g_after_f__X_to_Y_to_X,LBXHGB,LBXRDW,-0.03490757929768762,0.0,0.03490757929768762
A,g_after_f__X_to_Y_to_X,LBXRBCSI,LBXHGB,0.4210584075037622,0.0,0.4210584075037622
A,g_after_f__X_to_Y_to_X,LBXRBCSI,LBXRBCSI,0.5879260864462208,1.0,0.4120739135537792
A,g_after_f__X_to_Y_to_X,LBXRBCSI,LBXMCVSI,-0.256723953743933,0.0,0.256723953743933
A,g_after_f__X_to_Y_to_X,LBXRBCSI,LBXRDW,0.034351216031967696,0.0,0.034351216031967696
A,g_after_f__X_to_Y_to_X,LBXMCVSI,LBXHGB,0.2575840683469286,0.0,0.2575840683469286
A,g_after_f__X_to_Y_to_X,LBXMCVSI,LBXRBCSI,-0.25208777029793494,0.0,0.25208777029793494
A,g_after_f__X_to_Y_to_X,LBXMCVSI,LBXMCVSI,0.8429481533464461,1.0,0.15705184665355387
A,g_after_f__X_to_Y_to_X,LBXMCVSI,LBXRDW,0.021014485925208222,0.0,0.021014485925208222
A,g_after_f__X_to_Y_to_X,LBXRDW,LBXHGB,-0.03672621931906466,0.0,0.03672621931906466
A,g_after_f__X_to_Y_to_X,LBXRDW,LBXRBCSI,0.03594255964288235,0.0,0.03594255964288235
A,g_after_f__X_to_Y_to_X,LBXRDW,LBXMCVSI,0.022392380870752654,0.0,0.022392380870752654
A,g_after_f__X_to_Y_to_X,LBXRDW,LBXRDW,0.9970037641538955,1.0,0.0029962358461045335
G,f_after_g__Y_to_X_to_Y,G_ICA1,G_ICA1,1.0000000000000013,1.0,1.3322676295501878e-15
G,f_after_g__Y_to_X_to_Y,G_ICA1,G_ICA2,1.491862189340054e-16,0.0,1.491862189340054e-16
G,f_after_g__Y_to_X_to_Y,G_ICA1,G_ICA3,-5.100087019371813e-16,0.0,5.100087019371813e-16
G,f_after_g__Y_to_X_to_Y,G_ICA2,G_ICA1,-5.551115123125783e-17,0.0,5.551115123125783e-17
G,f_after_g__Y_to_X_to_Y,G_ICA2,G_ICA2,0.999999999999999,1.0,9.992007221626409e-16
G,f_after_g__Y_to_X_to_Y,G_ICA2,G_ICA3,-1.9984014443252818e-15,0.0,1.9984014443252818e-15
G,f_after_g__Y_to_X_to_Y,G_ICA3,G_ICA1,-5.186823193170653e-16,0.0,5.186823193170653e-16
G,f_after_g__Y_to_X_to_Y,G_ICA3,G_ICA2,1.1796119636642288e-16,0.0,1.1796119636642288e-16
G,f_after_g__Y_to_X_to_Y,G_ICA3,G_ICA3,1.0000000000000018,1.0,1.7763568394002505e-15
G,g_after_f__X_to_Y_to_X,LBXGH,LBXGH,0.9999999999999992,1.0,7.771561172376096e-16
G,g_after_f__X_to_Y_to_X,LBXGH,LBXGLU,3.054414360326163e-15,0.0,3.054414360326163e-15
G,g_after_f__X_to_Y_to_X,LBXGH,LOG_IN,-8.049116928532385e-16,0.0,8.049116928532385e-16
G,g_after_f__X_to_Y_to_X,LBXGLU,LBXGH,4.683753385137379e-17,0.0,4.683753385137379e-17
G,g_after_f__X_to_Y_to_X,LBXGLU,LBXGLU,1.0000000000000016,1.0,1.5543122344752192e-15
G,g_after_f__X_to_Y_to_X,LBXGLU,LOG_IN,-6.661338147750939e-16,0.0,6.661338147750939e-16
G,g_after_f__X_to_Y_to_X,LOG_IN,LBXGH,-2.185751579730777e-16,0.0,2.185751579730777e-16
G,g_after_f__X_to_Y_to_X,LOG_IN,LBXGLU,-2.740863092043355e-16,0.0,2.740863092043355e-16
G,g_after_f__X_to_Y_to_X,LOG_IN,LOG_IN,1.0000000000000013,1.0,1.3322676295501878e-15
