domain,map,input,L2_sensitivity_norm,share_of_total_norm
A,f_X_to_Y,LBXHGB,0.6019549904575826,0.19741719381592082
A,f_X_to_Y,LBXRBCSI,0.5756412014812036,0.18878732204688342
A,f_X_to_Y,LBXMCVSI,0.8705400782470606,0.2855023748888366
A,f_X_to_Y,LBXRDW,1.0010155226355424,0.32829310924835914
A,g_Y_to_X,A_ICA1,1.3610495296526413,0.3667885921169854
A,g_Y_to_X,A_ICA2,1.2126756461290473,0.3268033846290273
A,g_Y_to_X,A_ICA3,1.1369941838284416,0.3064080232539873
G,f_X_to_Y,LBXGH,1.425260562935391,0.37667957146035774
G,f_X_to_Y,LBXGLU,1.3805990297245714,0.36487605452590605
G,f_X_to_Y,LOG_IN,0.9778883749024019,0.2584443740137362
G,g_Y_to_X,G_ICA1,1.0651871755667002,0.32263273814514815
G,g_Y_to_X,G_ICA2,0.6371434689485943,0.19298330536961214
G,g_Y_to_X,G_ICA3,1.5992164386808525,0.4843839564852397
