outcome_label,outcome_column,test,epsilon,R2_equivalent,weighted_RMSE_standardized,n_train,n_test
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,MAIN_epsilon_f__Y1_vs_Y2,0.9607425204564115,0.07697380938706166,0.18761620249857627,4274,1832
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,MAIN_epsilon_g__X1_vs_X2,0.9607425204564116,0.07697380938706155,0.013655915575505825,4274,1832
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,PHENOTYPE_initial__Y0_vs_Y1,0.9751998994690679,0.04898515607551979,0.9861060336550745,4274,1832
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,PHENOTYPE_full__Y0_vs_Y2,0.9984955783448553,0.0030065800257730313,1.0096622394237704,4274,1832
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,PHYSIOLOGY_initial__X0_vs_X1,0.995336239168548,0.009305770997811047,1.0060163041479324,4274,1832
SOMATIC,DOMAIN_SOMATIC_SCORE_X3,PHYSIOLOGY_full__X0_vs_X2,1.0000366007751904,-7.320288999745905e-05,1.010767101140538,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,MAIN_epsilon_f__Y1_vs_Y2,0.962109251766794,0.07434578766473987,0.18441419037202997,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,MAIN_epsilon_g__X1_vs_X2,0.9621092517667938,0.07434578766474009,0.013190383031669006,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,PHENOTYPE_initial__Y0_vs_Y1,0.9761445760526017,0.04714176664308645,0.9862077949723935,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,PHENOTYPE_full__Y0_vs_Y2,0.9985896903789147,0.0028186302689433562,1.0088842993045382,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,PHYSIOLOGY_initial__X0_vs_X1,0.9955167800744714,0.008946340590156532,1.006198782277209,4274,1832
PHQ9_TOTAL,DOMAIN_PHQ9_TOTAL_X3,PHYSIOLOGY_full__X0_vs_X2,1.0000504627529938,-0.00010092805247707837,1.010781111858855,4274,1832
PHQ9_TOTAL_RAW,PHQ9_TOTAL,MAIN_epsilon_f__Y1_vs_Y2,0.9579504807351139,0.08233087645936421,0.19421739874697158,3278,1405
PHQ9_TOTAL_RAW,PHQ9_TOTAL,MAIN_epsilon_g__X1_vs_X2,0.9579504807351138,0.08233087645936432,0.019087687243064005,3278,1405
PHQ9_TOTAL_RAW,PHQ9_TOTAL,PHENOTYPE_initial__Y0_vs_Y1,0.984142216054724,0.03146409857889698,0.9329963847809382,3278,1405
PHQ9_TOTAL_RAW,PHQ9_TOTAL,PHENOTYPE_full__Y0_vs_Y2,0.9984740645450931,0.003049542430801244,0.9465834076833264,3278,1405
PHQ9_TOTAL_RAW,PHQ9_TOTAL,PHYSIOLOGY_initial__X0_vs_X1,0.9910828825377526,0.017754719940659358,0.9695646489355052,3278,1405
PHQ9_TOTAL_RAW,PHQ9_TOTAL,PHYSIOLOGY_full__X0_vs_X2,1.0004070599132104,-0.0008142855241937141,0.9786863812577299,3278,1405
