cycle,seed,component,similarity
0506,0,IC1,0.9999687424986677
0506,0,IC2,0.9998055559868833
0506,0,IC3,0.9998639814971042
0506,0,IC4,0.9989448389763653
0506,1,IC1,0.9995817722468241
0506,1,IC2,0.9996423099868958
0506,1,IC3,0.9999849608473543
0506,1,IC4,0.9960078694948523
0506,2,IC1,0.9999273476292088
0506,2,IC2,0.9995857142184006
0506,2,IC3,0.9998250002819159
0506,2,IC4,0.9983427680866199
0506,3,IC1,0.9995624861052591
0506,3,IC2,0.9998825207760693
0506,3,IC3,0.9999281774605968
0506,3,IC4,0.9931683501495446
0506,4,IC1,0.9998716869413781
0506,4,IC2,0.9996896138648712
0506,4,IC3,0.9997327540286206
0506,4,IC4,0.9956443223390083
0506,5,IC1,0.9996280901135834
0506,5,IC2,0.9996873175316423
0506,5,IC3,0.9999810618053315
0506,5,IC4,0.9966940705746676
0506,6,IC1,0.9010402540337805
0506,6,IC2,0.9999072864705916
0506,6,IC3,0.9986627210396023
0506,6,IC4,0.48834091289199316
0506,7,IC1,0.9997880403408363
0506,7,IC2,0.999771670920787
0506,7,IC3,0.9999400627933429
0506,7,IC4,0.9966044847763628
0506,8,IC1,0.9994128568930343
0506,8,IC2,0.9996400465004845
0506,8,IC3,0.9999323525850179
0506,8,IC4,0.9918343035951708
0506,9,IC1,0.9994589074703231
0506,9,IC2,0.9996400930436804
0506,9,IC3,0.9999287926379373
0506,9,IC4,0.9923105404142354
0506,10,IC1,0.9997874680475787
0506,10,IC2,0.9997721800174811
0506,10,IC3,0.9999424461257136
0506,10,IC4,0.9966357052930234
0506,11,IC1,0.9182541511096051
0506,11,IC2,0.9998958821014212
0506,11,IC3,0.9988020507035641
0506,11,IC4,0.5329348322821698
0506,12,IC1,0.999789158242048
0506,12,IC2,0.9997714465704715
0506,12,IC3,0.9999412571764982
0506,12,IC4,0.9966400570049266
0506,13,IC1,0.9995948210558776
0506,13,IC2,0.9995655127864795
0506,13,IC3,0.9999851691899441
0506,13,IC4,0.996318109347824
0506,14,IC1,0.9997994453659664
0506,14,IC2,0.9997723938770399
0506,14,IC3,0.9999479602176706
0506,14,IC4,0.9968900066518497
0506,15,IC1,0.9994544989829512
0506,15,IC2,0.9996597209545716
0506,15,IC3,0.9999577800125452
0506,15,IC4,0.9929764913848393
0506,16,IC1,0.9996174187401533
0506,16,IC2,0.9995598143463333
0506,16,IC3,0.9999709068296351
0506,16,IC4,0.9969971982462686
0506,17,IC1,0.9998810910380773
0506,17,IC2,0.9999317913059855
0506,17,IC3,0.9999909748377487
0506,17,IC4,0.9984995508363214
0506,18,IC1,0.9997783473523958
0506,18,IC2,0.9997738508694329
0506,18,IC3,0.9999403297468672
0506,18,IC4,0.9964736134147284
0506,19,IC1,0.9993970438728693
0506,19,IC2,0.9996515840970847
0506,19,IC3,0.9998675519696674
0506,19,IC4,0.9902856709709106
0506,20,IC1,0.9993985110412478
0506,20,IC2,0.99964596401548
0506,20,IC3,0.9999033358844203
0506,20,IC4,0.9910039725572102
0506,21,IC1,0.9998949846448266
0506,21,IC2,0.9999999277299911
0506,21,IC3,0.9999845321011926
0506,21,IC4,0.9983440871788843
0506,22,IC1,0.9995404069084666
0506,22,IC2,0.9996497758451564
0506,22,IC3,0.9999845732261803
0506,22,IC4,0.9953891339423973
0506,23,IC1,0.9994579623879558
0506,23,IC2,0.9996406909045888
0506,23,IC3,0.9999260091598569
0506,23,IC4,0.9922355195944549
0506,24,IC1,0.9997772298592651
0506,24,IC2,0.9997837084999239
0506,24,IC3,0.9999441809817659
0506,24,IC4,0.99650398212987
0506,25,IC1,0.9994128734788583
0506,25,IC2,0.9996401497294753
0506,25,IC3,0.999933393689581
0506,25,IC4,0.9918596083211637
0506,26,IC1,0.9994873520017055
0506,26,IC2,0.9996295958793324
0506,26,IC3,0.9999659846154475
0506,26,IC4,0.9936603635261522
0506,27,IC1,0.9994141195218555
0506,27,IC2,0.9996416295152308
0506,27,IC3,0.9999248768663431
0506,27,IC4,0.9916711584871993
0506,28,IC1,0.9998228932229174
0506,28,IC2,0.9997897532354306
0506,28,IC3,0.9998604613564875
0506,28,IC4,0.9959651516575555
0506,29,IC1,0.9993953481934776
0506,29,IC2,0.9996434446850929
0506,29,IC3,0.9999180418764565
0506,29,IC4,0.9912841806065107
0506,30,IC1,0.9998027666864892
0506,30,IC2,0.9997699473145457
0506,30,IC3,0.9999467070161153
0506,30,IC4,0.9969186536701946
