cycle,bootstrap,component,similarity
0506,0,IC1,0.9305487611834202
0506,0,IC2,0.9796260374521771
0506,0,IC3,0.9948930904414746
0506,1,IC1,0.9809090210922603
0506,1,IC2,0.9977368567560592
0506,1,IC3,0.9967022617191915
0506,2,IC1,0.8576261787290544
0506,2,IC2,0.9969311811353637
0506,2,IC3,0.9900807500892266
0506,3,IC1,0.8155629697052218
0506,3,IC2,0.9956802844629971
0506,3,IC3,0.9956293774496299
0506,4,IC1,0.8063323484502967
0506,4,IC2,0.9862358699278018
0506,4,IC3,0.8500761097190306
0506,5,IC1,0.6418507085743038
0506,5,IC2,0.9768705775599994
0506,5,IC3,0.9664190313102918
0506,6,IC1,0.6216338453780087
0506,6,IC2,0.7972837828618856
0506,6,IC3,0.9412371598975051
0506,7,IC1,0.5294283856667468
0506,7,IC2,0.9736338966351281
0506,7,IC3,0.995867015785082
0506,8,IC1,0.7865249991410564
0506,8,IC2,0.9806697107336373
0506,8,IC3,0.8807051093371332
0506,9,IC1,0.8518449198895871
0506,9,IC2,0.9970640114452363
0506,9,IC3,0.9862928882318558
0506,10,IC1,0.916913912191478
0506,10,IC2,0.992320672858734
0506,10,IC3,0.9668432005210308
0506,11,IC1,0.9379764400111116
0506,11,IC2,0.9977792491407744
0506,11,IC3,0.9799887073490472
0506,12,IC1,0.9258829963885011
0506,12,IC2,0.9917586085766483
0506,12,IC3,0.9688033112751582
0506,13,IC1,0.5886484233482792
0506,13,IC2,0.8077167053187364
0506,13,IC3,0.9833305706637383
0506,14,IC1,0.6444329053235356
0506,14,IC2,0.9970801103990381
0506,14,IC3,0.9609950913615081
0506,15,IC1,0.8659933582780271
0506,15,IC2,0.9941628297932186
0506,15,IC3,0.9946743410830343
0506,16,IC1,0.8156727829741222
0506,16,IC2,0.9880915330381369
0506,16,IC3,0.9362149358605256
0506,17,IC1,0.8424376645857244
0506,17,IC2,0.9932045626966646
0506,17,IC3,0.984009645303045
0506,18,IC1,0.9067489229430542
0506,18,IC2,0.9919135052574715
0506,18,IC3,0.9925341470964875
0506,19,IC1,0.6814767371384374
0506,19,IC2,0.7398449851897243
0506,19,IC3,0.9819851476016939
0506,20,IC1,0.7390555226245452
0506,20,IC2,0.8110312588904376
0506,20,IC3,0.9830743023765397
0506,21,IC1,0.3177888812746863
0506,21,IC2,0.9706407673465768
0506,21,IC3,0.9784215451221372
0506,22,IC1,0.9291801241903594
0506,22,IC2,0.9771501769458487
0506,22,IC3,0.9876940070215119
0506,23,IC1,0.6873623666602793
0506,23,IC2,0.7129831999528646
0506,23,IC3,0.9706913560181594
0506,24,IC1,0.9745639367190098
0506,24,IC2,0.9966513118730245
0506,24,IC3,0.9893343277710943
0506,25,IC1,0.9813273022906401
0506,25,IC2,0.9973109308725618
0506,25,IC3,0.9947950651300608
0506,26,IC1,0.7450822307827873
0506,26,IC2,0.8046323882872499
0506,26,IC3,0.984513594427654
0506,27,IC1,0.9278304182420374
0506,27,IC2,0.9945745402057529
0506,27,IC3,0.9715044804728752
0506,28,IC1,0.7609384443688959
