outcome,model,term,beta,se,ci_low,ci_high,p,survey_dof,n
PHQ9_TOTAL,X0_demographic,A,0.613751264024385,0.1652670853473682,0.2766868212116848,0.950815706837085,0.0008039456826583616,31,7957
PHQ9_TOTAL,X0_demographic,G,0.33132021130369244,0.09171451414327919,0.144267226478761,0.5183731961286239,0.0010583619721748405,31,7957
PHQ9_TOTAL,X0_demographic,AG,-0.27914090783749906,0.1539300672858882,-0.5930833498717718,0.03480153419677373,0.07945830639032156,31,7957
PHQ9_TOTAL,X1_primary,A,0.5945723049073235,0.16816344727250773,0.25160069300267063,0.9375439168119764,0.001302140840370188,31,7957
PHQ9_TOTAL,X1_primary,G,0.28074024947200643,0.0977234284729501,0.08143200307346712,0.48004849587054577,0.0072800982400875154,31,7957
PHQ9_TOTAL,X1_primary,AG,-0.21962523880935086,0.13521841554100558,-0.49540501550564875,0.05615453788694702,0.11445376147409658,31,7957
PHQ9_TOTAL,X2_bmi_sensitivity,A,0.6091640415680061,0.17044043381461912,0.2615484849934534,0.9567795981425588,0.0011742679276913375,31,7957
PHQ9_TOTAL,X2_bmi_sensitivity,G,0.2012163475713094,0.09114573520258772,0.015323395043945337,0.3871093000986735,0.034799955533978334,31,7957
PHQ9_TOTAL,X2_bmi_sensitivity,AG,-0.22892984453446016,0.1360420615778203,-0.5063894583979128,0.04852976932899247,0.10246324938629056,31,7957
PHQ9_TOTAL,X3_kidney_direct_effect,A,0.6024398497839331,0.17249254632598823,0.25063898214892477,0.9542407174189413,0.001461913323560738,31,7957
PHQ9_TOTAL,X3_kidney_direct_effect,G,0.2027584617527254,0.09106394183874078,0.01703232789075318,0.3884845956146976,0.033378950184655753,31,7957
PHQ9_TOTAL,X3_kidney_direct_effect,AG,-0.23250779289432663,0.13798712143784309,-0.5139343824963416,0.04891879670768837,0.10203224686037163,31,7957
SOMATIC_SCORE,X0_demographic,A,0.37912855310529864,0.09359166424606319,0.18824709540483486,0.5700100108057624,0.00031706344009500934,31,7957
SOMATIC_SCORE,X0_demographic,G,0.17281217425717954,0.04926647659684362,0.07233253278134305,0.27329181573301603,0.0014037480833113897,31,7957
SOMATIC_SCORE,X0_demographic,AG,-0.1550646683296966,0.05802854380533573,-0.2734146636954818,-0.0367146729639114,0.011903755739224925,31,7957
SOMATIC_SCORE,X1_primary,A,0.37660764644814926,0.09490050305061207,0.18305679440664263,0.5701584984896559,0.00039876098485638125,31,7957
SOMATIC_SCORE,X1_primary,G,0.15405153686501238,0.053517254609390406,0.04490237647494051,0.26320069725508427,0.007176839009600534,31,7957
SOMATIC_SCORE,X1_primary,AG,-0.13245117290797442,0.053476788927053036,-0.24151780299480163,-0.023384542821147228,0.018916972220011846,31,7957
SOMATIC_SCORE,X2_bmi_sensitivity,A,0.3846880147017644,0.0970977380612332,0.186655872311203,0.5827201570923257,0.00040611080891040155,31,7957
SOMATIC_SCORE,X2_bmi_sensitivity,G,0.11001411847784028,0.050406704640311835,0.007208966575392092,0.21281927038028847,0.03676921950338411,31,7957
SOMATIC_SCORE,X2_bmi_sensitivity,AG,-0.13760372208439584,0.0545683817214932,-0.24889667035347318,-0.026310773815318503,0.017032917198673725,31,7957
SOMATIC_SCORE,X3_kidney_direct_effect,A,0.38016966907700034,0.09801412440800732,0.18026854441009907,0.5800707937439016,0.0005111436408967284,31,7957
SOMATIC_SCORE,X3_kidney_direct_effect,G,0.11105034782528304,0.05039341616069078,0.008272297955704166,0.21382839769486192,0.03510460316206921,31,7957
SOMATIC_SCORE,X3_kidney_direct_effect,AG,-0.14000793776363007,0.05571164062167403,-0.2536325779323386,-0.026383297594921556,0.01737972741580731,31,7957
