representation,model,term,beta,se,ci_low,ci_high,p,survey_dof,n
HbA1c_excess,X0_demographic,A,0.3946972551337988,0.11653890510384946,0.15701459114618285,0.6323799191214147,0.0019377647962942062,31,3838
HbA1c_excess,X0_demographic,G,0.16652548247953713,0.057034766891043136,0.05020230849317002,0.28284865646590424,0.0064749850437659335,31,3838
HbA1c_excess,X0_demographic,AG,-0.12521566406814283,0.04443358152575435,-0.21583855106146982,-0.034592777074815825,0.00833882787592937,31,3838
HbA1c_excess,X1_primary,A,0.38422045689805484,0.11664356175453268,0.14632434426411567,0.622116569531994,0.0024758683466854854,31,3838
HbA1c_excess,X1_primary,G,0.145872272789136,0.06114713247203951,0.02116187390382901,0.270582671674443,0.02334666741883065,31,3838
HbA1c_excess,X1_primary,AG,-0.1090100310470436,0.04675562440243058,-0.20436875571046076,-0.013651306383626424,0.02640215600267715,31,3838
HbA1c_excess,X2_bmi_sensitivity,A,0.38690563562928104,0.119553138143817,0.143075402826079,0.6307358684324831,0.0028796302045227895,31,3838
HbA1c_excess,X2_bmi_sensitivity,G,0.11070501491911261,0.05912211658416086,-0.009875336833699525,0.23128536667192473,0.07059924247474117,31,3838
HbA1c_excess,X2_bmi_sensitivity,AG,-0.11526602909285741,0.04925811280447841,-0.21572861250170217,-0.014803445684012637,0.025896017352180088,31,3838
HbA1c_excess,X3_kidney_direct_effect,A,0.387172338384596,0.11999727372830842,0.1424362850848006,0.6319083916843915,0.002953839478572767,31,3838
HbA1c_excess,X3_kidney_direct_effect,G,0.11140518222974559,0.05912789660229866,-0.009186957947779004,0.23199732240727017,0.06895440717277494,31,3838
HbA1c_excess,X3_kidney_direct_effect,AG,-0.1165153955174244,0.04891999331506464,-0.21628837968112113,-0.016742411353727685,0.023552440831708835,31,3838
Fasting_glucose_excess,X0_demographic,A,0.3850585772877001,0.11878647766067273,0.14279195884869156,0.6273251957267086,0.0028397846828844943,31,3838
Fasting_glucose_excess,X0_demographic,G,0.05439768738698269,0.014521070544035033,0.024781768756352438,0.08401360601761294,0.0007357996261542611,31,3838
Fasting_glucose_excess,X0_demographic,AG,-0.031009904757883976,0.025045087835399805,-0.08208969816436099,0.020069888648593028,0.2249506854448736,31,3838
Fasting_glucose_excess,X1_primary,A,0.3776170115405413,0.11833883244658425,0.1362633715348812,0.6189706515462013,0.003239857637717289,31,3838
Fasting_glucose_excess,X1_primary,G,0.04799968945476927,0.01574738041798981,0.015882695346759568,0.08011668356277897,0.004679817462177848,31,3838
Fasting_glucose_excess,X1_primary,AG,-0.028385514937206594,0.02293592681150562,-0.0751636460748362,0.018392616200423,0.22515646331106925,31,3838
Fasting_glucose_excess,X2_bmi_sensitivity,A,0.3749508808329594,0.12062109676552997,0.1289425320605788,0.62095922960534,0.00400925629675369,31,3838
Fasting_glucose_excess,X2_bmi_sensitivity,G,0.036081770346735674,0.0154930409863763,0.004483504929450544,0.0676800357640208,0.026556703282948485,31,3838
Fasting_glucose_excess,X2_bmi_sensitivity,AG,-0.028274430384073578,0.023995957882455454,-0.07721450914450335,0.020665648376356194,0.24764318835412696,31,3838
Fasting_glucose_excess,X3_kidney_direct_effect,A,0.37515645916552337,0.12132564363778033,0.12771117757357162,0.6226017407574751,0.004181237707261078,31,3838
Fasting_glucose_excess,X3_kidney_direct_effect,G,0.03658936588744831,0.015438129185806676,0.005103093825790765,0.06807563794910584,0.024188943190973068,31,3838
Fasting_glucose_excess,X3_kidney_direct_effect,AG,-0.028670952426764255,0.023403679566588353,-0.07640307159797405,0.019061166744445544,0.22977911054674732,31,3838
