model,term,beta,se,ci_low,ci_high,p,survey_dof,n
X0_demographic,A,0.25748214063558095,0.1366806445425475,-0.021279871771072434,0.5362441530422344,0.06899856674943221,31,3836
X0_demographic,GSTATE_1,0.015990331762308352,0.07251814229318665,-0.13191139455233386,0.16389205807695056,0.8269266847096344,31,3836
X0_demographic,GSTATE_2,0.7752626644611782,0.24586356485705024,0.2738206179562689,1.2767047109660874,0.0035727504978531454,31,3836
X0_demographic,GSTATE_3,0.6000368432883154,0.38670471113761695,-0.18865261486169305,1.3887263014383238,0.13089249051307714,31,3836
X0_demographic,GSTATE_4,0.662500670812264,0.1591060259080278,0.33800179157014615,0.986999550054382,0.00023117198687047026,31,3836
X0_demographic,A_x_GSTATE_1,0.25814046032398785,0.3219357848388567,-0.39845190173104117,0.9147328223790169,0.4287504885384721,31,3836
X0_demographic,A_x_GSTATE_2,-0.49980480823918816,0.6251493684443546,-1.7748053511876716,0.7751957347092953,0.43008629836743095,31,3836
X0_demographic,A_x_GSTATE_3,0.5114083421344247,1.0032539339862356,-1.5347415463805971,2.5575582306494464,0.6138369645558344,31,3836
X0_demographic,A_x_GSTATE_4,0.04220201944293234,0.3158299886346305,-0.6019374891526212,0.6863415280384859,0.8945647208573464,31,3836
X1_primary,A,0.2567310609527981,0.13151542747278178,-0.01149642178651189,0.524958543692108,0.060009528342191656,31,3836
X1_primary,GSTATE_1,-0.010436480681645266,0.07230075213191911,-0.15789483683926803,0.1370218754759775,0.8861599034433933,31,3836
X1_primary,GSTATE_2,0.6542607410416679,0.25086919142702274,0.14260965183966057,1.165911830243675,0.01388655863214959,31,3836
X1_primary,GSTATE_3,0.5506290197689454,0.36347063133295693,-0.19067422020481173,1.2919322597427025,0.13992346629567637,31,3836
X1_primary,GSTATE_4,0.5852704070790296,0.16600432696124368,0.24670235008158736,0.9238384640764717,0.0013377839926295683,31,3836
X1_primary,A_x_GSTATE_1,0.24985255570743858,0.3327418090987569,-0.42877883812774265,0.9284839495426198,0.45838114049613876,31,3836
X1_primary,A_x_GSTATE_2,-0.45514585842543753,0.6364640029156443,-1.7532227505191766,0.8429310336683016,0.4798886080344048,31,3836
X1_primary,A_x_GSTATE_3,0.5828821541070579,0.9976217315383713,-1.4517807817827175,2.6175450899968333,0.563265619485242,31,3836
X1_primary,A_x_GSTATE_4,0.021760988650218915,0.2981096454490016,-0.5862376417434855,0.6297596190439233,0.9422777936953088,31,3836
X2_bmi_sensitivity,A,0.24964183752125924,0.13472511219865868,-0.025131840375169856,0.5244155154176884,0.0734271183982236,31,3836
X2_bmi_sensitivity,GSTATE_1,-0.11914701218551005,0.0710016866077947,-0.2639559067389311,0.025661882367910976,0.1033853252485249,31,3836
X2_bmi_sensitivity,GSTATE_2,0.4671335907817422,0.2484549671643666,-0.03959365557396144,0.9738608371374459,0.06951289633721787,31,3836
X2_bmi_sensitivity,GSTATE_3,0.42475937154444376,0.35530647603944315,-0.29989296392972364,1.1494117070186112,0.24096742773039834,31,3836
X2_bmi_sensitivity,GSTATE_4,0.37125388263856873,0.1678805232878135,0.02885929800500786,0.7136484672721296,0.034511446632080306,31,3836
X2_bmi_sensitivity,A_x_GSTATE_1,0.28328566261813615,0.34283033005821284,-0.4159214053681075,0.9824927306043798,0.41494050689488204,31,3836
X2_bmi_sensitivity,A_x_GSTATE_2,-0.48264816213128126,0.6416805702708815,-1.7913643134900592,0.8260679892274967,0.45762669236938525,31,3836
X2_bmi_sensitivity,A_x_GSTATE_3,0.5585347717639806,1.034278160954443,-1.5508894448167538,2.667958988344715,0.593039268548436,31,3836
X2_bmi_sensitivity,A_x_GSTATE_4,0.024096700211124367,0.29393909162591364,-0.5753960295814722,0.623589430003721,0.9351908018108648,31,3836
X3_kidney_direct_effect,A,0.25802875287536964,0.13599504325157924,-0.019334966479487292,0.5353924722302266,0.06713201336177935,31,3836
X3_kidney_direct_effect,GSTATE_1,-0.1122717287002688,0.07100780250962836,-0.2570930967177164,0.03254963931717883,0.12400165785042234,31,3836
X3_kidney_direct_effect,GSTATE_2,0.4757166801701924,0.24915532544403404,-0.03243895631418803,0.9838723166545729,0.06551445040303297,31,3836
X3_kidney_direct_effect,GSTATE_3,0.4395121942120279,0.3578068303293714,-0.290239647457203,1.169264035881259,0.22855985650792549,31,3836
X3_kidney_direct_effect,GSTATE_4,0.37261288958634076,0.16791936971130164,0.030139077149731408,0.7150867020229501,0.03393984085984699,31,3836
X3_kidney_direct_effect,A_x_GSTATE_1,0.2685098851441581,0.3439998907313268,-0.4330825175612779,0.9701022878495941,0.440985743881371,31,3836
X3_kidney_direct_effect,A_x_GSTATE_2,-0.5057650845055057,0.6388165916442331,-1.8086401129450422,0.7971099439340308,0.4345394266081478,31,3836
X3_kidney_direct_effect,A_x_GSTATE_3,0.5548840349951785,1.0336024183549561,-1.5531619954676,2.6629300654579566,0.5952072029487491,31,3836
X3_kidney_direct_effect,A_x_GSTATE_4,-0.003510883816654653,0.2885159910221034,-0.5919431270066198,0.5849213593733105,0.9903689464349885,31,3836
