"lhs","op","rhs","group","est","se","z","pvalue","ci.lower","ci.upper","std.all","cycle"
"Somatic","~","A_Z",1,0.0429278636100939,0.0202287341923816,2.12212307511861,0.0338274041308484,0.00328027314019204,0.0825754540799958,0.0408685955780451,"506"
"Somatic","~","G_HBA1C_Z",1,0.0476128133240667,0.0238025894959987,2.00032073535826,0.0454656413788306,0.00096059517311798,0.0942650314750155,0.0453288062445459,"506"
"Somatic","~","AG_Z",1,-0.0226499861499816,0.0100002657469555,-2.26493842494907,0.0235164583767411,-0.0422501468498439,-0.00304982545011924,-0.0335132506650479,"506"
"CognitiveAffective","~","A_Z",1,0.0221976021859998,0.0220616205309406,1.00616372015231,0.314336820960546,-0.0210423794952333,0.0654375838672328,0.0208498345815221,"506"
"CognitiveAffective","~","G_HBA1C_Z",1,0.0443595263560859,0.0284624986545934,1.55852537384053,0.119108757866706,-0.011425945916937,0.100144998629109,0.0416661574024601,"506"
"CognitiveAffective","~","AG_Z",1,-0.0274304589956778,0.0181207546373272,-1.51375919737765,0.130086924746662,-0.0629464854575262,0.00808556746617071,-0.0400431100218617,"506"
"Somatic","~","A_Z",2,0.0882645719068242,0.0192552791067674,4.58391547675894,4.56348767752246e-06,0.0505249183452935,0.126004225468355,0.0821526955370158,"708"
"Somatic","~","G_HBA1C_Z",2,0.0548351883498972,0.0215854261503543,2.54038016057409,0.0110732034525276,0.0125285305042538,0.0971418461955407,0.0510381281629004,"708"
"Somatic","~","AG_Z",2,-0.0145867918744527,0.0162676582183932,-0.896674350949911,0.369892710984057,-0.0464708160953104,0.017297232346405,-0.0162749556115836,"708"
"CognitiveAffective","~","A_Z",2,0.0433872337348125,0.0205495214402388,2.1113500799028,0.0347422324769673,0.00311091181241071,0.0836635556572142,0.0416210533895703,"708"
"CognitiveAffective","~","G_HBA1C_Z",2,0.0216858481179839,0.0179480375252654,1.20825734220005,0.22694829124354,-0.0134916590247097,0.0568633552606774,0.0208030741907501,"708"
"CognitiveAffective","~","AG_Z",2,-0.000748870010025395,0.0186590792169631,-0.0401343496813387,0.96798601676811,-0.0373199932599528,0.035822253239902,-0.000861156675722475,"708"
