block,cycle,component,explained_variance_ratio,cumulative_explained_variance
A,0506,1,0.4526380432527865,0.4526380432527865
A,0506,2,0.3444365428527831,0.7970745861055696
A,0506,3,0.11703913937154672,0.9141137254771163
A,0506,4,0.08486645092331162,0.9989801764004279
A,0506,5,0.000766940108444879,0.9997471165088728
A,0506,6,0.0001741672338082543,0.9999212837426811
A,0506,7,7.871625731891891e-05,1.0
A,0708,1,0.47517844016393734,0.47517844016393734
A,0708,2,0.32358960677593335,0.7987680469398707
A,0708,3,0.10847929381061361,0.9072473407504843
A,0708,4,0.08978042711820614,0.9970277678686904
A,0708,5,0.00221227451140418,0.9992400423800946
A,0708,6,0.0006430853417967787,0.9998831277218914
A,0708,7,0.00011687227810860232,1.0
G,0506,1,0.9121934658928716,0.9121934658928716
G,0506,2,0.08780653410712827,0.9999999999999999
G,0708,1,0.9092199910961715,0.9092199910961715
G,0708,2,0.0907800089038285,1.0
