block,cycle,component,variable,label,loading
A,0506,1,LBXHGB,Hemoglobin,-0.4943856279326235
A,0506,1,LBXHCT,Hematocrit,-0.4421534967840519
A,0506,1,LBXRBCSI,RBC count,-0.2031698402147314
A,0506,1,LBXMCVSI,MCV,-0.3708637477655796
A,0506,1,LBXMCHSI,MCH,-0.40814774686959177
A,0506,1,LBXMC,MCHC,-0.28894215343792
A,0506,1,LBXRDW,RDW,0.36220585512609005
A,0506,2,LBXHGB,Hemoglobin,0.2925905828367327
A,0506,2,LBXHCT,Hematocrit,0.3767697530960342
A,0506,2,LBXRBCSI,RBC count,0.5957090281029738
A,0506,2,LBXMCVSI,MCV,-0.38164247934572904
A,0506,2,LBXMCHSI,MCH,-0.4228909299205843
A,0506,2,LBXMC,MCHC,-0.28997594949451017
A,0506,2,LBXRDW,RDW,0.09482766415097454
A,0506,3,LBXHGB,Hemoglobin,0.04186769565669687
A,0506,3,LBXHCT,Hematocrit,0.21301691412863694
A,0506,3,LBXRBCSI,RBC count,-0.08943332271623763
A,0506,3,LBXMCVSI,MCV,0.5032707742006287
A,0506,3,LBXMCHSI,MCH,0.1927291317950166
A,0506,3,LBXMC,MCHC,-0.651153963273509
A,0506,3,LBXRDW,RDW,0.480046973586631
A,0506,4,LBXHGB,Hemoglobin,0.16480114105486016
A,0506,4,LBXHCT,Hematocrit,0.022466516929654495
A,0506,4,LBXRBCSI,RBC count,0.08196062700949956
A,0506,4,LBXMCVSI,MCV,-0.09146516698388184
A,0506,4,LBXMCHSI,MCH,0.12701470614533056
A,0506,4,LBXMC,MCHC,0.5584155601104264
A,0506,4,LBXRDW,RDW,0.793279109155321
A,0506,5,LBXHGB,Hemoglobin,-0.4783505819230041
A,0506,5,LBXHCT,Hematocrit,-0.269271437196467
A,0506,5,LBXRBCSI,RBC count,0.75334861450194
A,0506,5,LBXMCVSI,MCV,0.192915841813321
A,0506,5,LBXMCHSI,MCH,0.3061399869854614
A,0506,5,LBXMC,MCHC,0.012616228346517766
A,0506,5,LBXRDW,RDW,-0.0064881461441570355
A,0506,6,LBXHGB,Hemoglobin,0.45391350700411487
A,0506,6,LBXHCT,Hematocrit,-0.4556893086515653
A,0506,6,LBXRBCSI,RBC count,0.02169379024382842
A,0506,6,LBXMCVSI,MCV,-0.44086967854472464
A,0506,6,LBXMCHSI,MCH,0.5453802819909037
A,0506,6,LBXMC,MCHC,-0.3065905876600642
A,0506,6,LBXRDW,RDW,-0.005970571027169053
A,0506,7,LBXHGB,Hemoglobin,0.4540974902259306
A,0506,7,LBXHCT,Hematocrit,-0.5800896787881665
A,0506,7,LBXRBCSI,RBC count,0.14536901583466139
A,0506,7,LBXMCVSI,MCV,0.4728415740325208
A,0506,7,LBXMCHSI,MCH,-0.4584103845688895
A,0506,7,LBXMC,MCHC,0.049396369924717076
A,0506,7,LBXRDW,RDW,0.00021677944010115024
A,0708,1,LBXHGB,Hemoglobin,-0.4897952877244956
A,0708,1,LBXHCT,Hematocrit,-0.44125004093803477
A,0708,1,LBXRBCSI,RBC count,-0.21897653837214104
