metric,eligible_n,included_n,value
overall_selection_rate,8686,7957,0.9160718397421137
selection_rate_cycle_0506,3814,3582,0.9391714735186156
selection_rate_cycle_0708,4872,4375,0.8979885057471264
missing_A,8686,8686,0.0
missing_G_HBA1C,8686,8686,0.0
missing_PHQ9_TOTAL,8686,8686,0.0
missing_RIDAGEYR,8686,8686,0.0
missing_RIAGENDR,8686,8686,0.0
missing_RIDRETH1,8686,8686,0.0
missing_INDFMPIR,8686,8125,0.06458669122726227
missing_EDUC3,8686,8682,0.00046051116739580933
missing_SMOKING3,8686,8681,0.0005756389592447617
missing_BMXBMI,8686,8596,0.01036150126640571
missing_EGFR_2021,8686,8596,0.01036150126640571
