"population","outcome","model","term","beta","se","ci_low","ci_high","p"
"Pooled","PHQ9_TOTAL","Additive_A+G+X","A",0.521696158492698,0.162079588069336,0.176231694157797,0.867160622827599,0.00573902799177706
"Pooled","PHQ9_TOTAL","Additive_A+G+X","G_HBA1C",0.180113623141269,0.0873221872645939,-0.00600921322113521,0.366236459503673,0.0569082358624877
"Pooled","PHQ9_TOTAL","Interaction_A+G+AxG+X","A",0.602439849783942,0.172492546325987,0.232480132658919,0.972399566908964,0.00358789885984435
"Pooled","PHQ9_TOTAL","Interaction_A+G+AxG+X","G_HBA1C",0.202758461752717,0.0910639418387406,0.00744573154766481,0.398071191957769,0.0429072982882358
"Pooled","PHQ9_TOTAL","Interaction_A+G+AxG+X","AG_HBA1C",-0.232507792894327,0.137987121437839,-0.5284607340583,0.0634451482696466,0.114140586168941
"Pooled","SOMATIC_SCORE","Additive_A+G+X","A",0.331548684961218,0.0911037374818895,0.137365665106648,0.525731704815788,0.00242267492423127
"Pooled","SOMATIC_SCORE","Additive_A+G+X","G_HBA1C",0.0974144300114641,0.0488741233262415,-0.00675829794188586,0.201587157964814,0.0647584670721541
"Pooled","SOMATIC_SCORE","Interaction_A+G+AxG+X","A",0.380169669076999,0.0980141244080079,0.169950279818784,0.590389058335213,0.00167028054291283
"Pooled","SOMATIC_SCORE","Interaction_A+G+AxG+X","G_HBA1C",0.111050347825281,0.050393416160691,0.00296721968512904,0.219133475965433,0.0447912277021729
"Pooled","SOMATIC_SCORE","Interaction_A+G+AxG+X","AG_HBA1C",-0.14000793776363,0.0557116406216733,-0.259497522931055,-0.0205183525962039,0.0248307565356156
"0506","PHQ9_TOTAL","Additive_A+G+X","A",0.277025123423107,0.247790477793544,NA,NA,NA
"0506","PHQ9_TOTAL","Additive_A+G+X","G_HBA1C",0.188897304249418,0.139212186709079,NA,NA,NA
"0506","PHQ9_TOTAL","Interaction_A+G+AxG+X","A",0.413913708525667,0.251154416492542,NA,NA,NA
"0506","PHQ9_TOTAL","Interaction_A+G+AxG+X","G_HBA1C",0.226413065864726,0.14678449249499,NA,NA,NA
"0506","PHQ9_TOTAL","Interaction_A+G+AxG+X","AG_HBA1C",-0.32710823276051,0.180527085831405,NA,NA,NA
"0506","SOMATIC_SCORE","Additive_A+G+X","A",0.188466121070797,0.121461282430376,NA,NA,NA
"0506","SOMATIC_SCORE","Additive_A+G+X","G_HBA1C",0.0861424629168022,0.0535768354793153,NA,NA,NA
"0506","SOMATIC_SCORE","Interaction_A+G+AxG+X","A",0.249099162674404,0.128505104802436,NA,NA,NA
"0506","SOMATIC_SCORE","Interaction_A+G+AxG+X","G_HBA1C",0.102759587953983,0.0547905278370057,NA,NA,NA
"0506","SOMATIC_SCORE","Interaction_A+G+AxG+X","AG_HBA1C",-0.144888392783012,0.0793276221639335,NA,NA,NA
"0708","PHQ9_TOTAL","Additive_A+G+X","A",0.698660165211738,0.20375617160856,-Inf,Inf,0.180652389428431
"0708","PHQ9_TOTAL","Additive_A+G+X","G_HBA1C",0.166306422012458,0.102637772319194,-Inf,Inf,0.352013890960913
"0708","PHQ9_TOTAL","Interaction_A+G+AxG+X","A",0.737684815930236,0.226837765698621,NA,NA,NA
"0708","PHQ9_TOTAL","Interaction_A+G+AxG+X","G_HBA1C",0.176572253851555,0.106309498899876,NA,NA,NA
"0708","PHQ9_TOTAL","Interaction_A+G+AxG+X","AG_HBA1C",-0.131438467135066,0.154035974249817,NA,NA,NA
"0708","SOMATIC_SCORE","Additive_A+G+X","A",0.435793716829856,0.120978722076986,-Inf,Inf,0.172388284280217
"0708","SOMATIC_SCORE","Additive_A+G+X","G_HBA1C",0.105246446848136,0.0812317568016926,-Inf,Inf,0.418464772952207
"0708","SOMATIC_SCORE","Interaction_A+G+AxG+X","A",0.473764217502838,0.132317395173544,NA,NA,NA
"0708","SOMATIC_SCORE","Interaction_A+G+AxG+X","G_HBA1C",0.1152349737812,0.0830008445269697,NA,NA,NA
"0708","SOMATIC_SCORE","Interaction_A+G+AxG+X","AG_HBA1C",-0.127887996764113,0.062095660206352,NA,NA,NA
