"population","outcome","model","weighted_R2","n","design_df"
"Pooled","PHQ9_TOTAL","X",0.0850022056553582,7957,31
"Pooled","PHQ9_TOTAL","X+A",0.0867530615739286,7957,31
"Pooled","PHQ9_TOTAL","X+G",0.0861068187572386,7957,31
"Pooled","PHQ9_TOTAL","X+A+G",0.0877997408750839,7957,31
"Pooled","PHQ9_TOTAL","X+A+G+AxG",0.0881073040121687,7957,31
"Pooled","SOMATIC_SCORE","X",0.0718238443384613,7957,31
"Pooled","SOMATIC_SCORE","X+A",0.0745082294556093,7957,31
"Pooled","SOMATIC_SCORE","X+G",0.0730678694141951,7957,31
"Pooled","SOMATIC_SCORE","X+A+G",0.0756762074084446,7957,31
"Pooled","SOMATIC_SCORE","X+A+G+AxG",0.0761016413339723,7957,31
"0506","PHQ9_TOTAL","X",0.0732739833568448,3582,15
"0506","PHQ9_TOTAL","X+A",0.073772653472771,3582,15
"0506","PHQ9_TOTAL","X+G",0.0746109845317362,3582,15
"0506","PHQ9_TOTAL","X+A+G",0.0750499511139383,3582,15
"0506","PHQ9_TOTAL","X+A+G+AxG",0.0757476527080093,3582,15
"0506","SOMATIC_SCORE","X",0.0572090498419618,3582,15
"0506","SOMATIC_SCORE","X+A",0.0580471414493295,3582,15
"0506","SOMATIC_SCORE","X+G",0.0582833603960298,3582,15
"0506","SOMATIC_SCORE","X+A+G",0.0590517497031514,3582,15
"0506","SOMATIC_SCORE","X+A+G+AxG",0.0595694465723275,3582,15
"0708","PHQ9_TOTAL","X",0.0896804073343965,4375,16
"0708","PHQ9_TOTAL","X+A",0.0929676958444594,4375,16
"0708","PHQ9_TOTAL","X+G",0.0905272227333938,4375,16
"0708","PHQ9_TOTAL","X+A+G",0.0937809372577353,4375,16
"0708","PHQ9_TOTAL","X+A+G+AxG",0.0938667519540605,4375,16
"0708","SOMATIC_SCORE","X",0.0790057222977321,4375,16
"0708","SOMATIC_SCORE","X+A",0.0839255890259624,4375,16
"0708","SOMATIC_SCORE","X+G",0.0803093625556126,4375,16
"0708","SOMATIC_SCORE","X+A+G",0.0851782620746243,4375,16
"0708","SOMATIC_SCORE","X+A+G+AxG",0.0854907244066047,4375,16
