CYCLE,RACE_SOURCE,RIDRETH_FROZEN,n
0910,RIDRETH1,1.0,1081
0910,RIDRETH1,2.0,611
0910,RIDRETH1,3.0,2887
0910,RIDRETH1,4.0,1082
0910,RIDRETH1,5.0,330
1112,RIDRETH1,1.0,515
1112,RIDRETH1,2.0,535
1112,RIDRETH1,3.0,1931
1112,RIDRETH1,4.0,1387
1112,RIDRETH1,5.0,894
1314,RIDRETH1,1.0,745
1314,RIDRETH1,2.0,485
1314,RIDRETH1,3.0,2374
1314,RIDRETH1,4.0,1127
1314,RIDRETH1,5.0,792
1516,RIDRETH1,1.0,938
1516,RIDRETH1,2.0,713
1516,RIDRETH1,3.0,1774
1516,RIDRETH1,4.0,1145
1516,RIDRETH1,5.0,834
1718,RIDRETH1,1.0,689
1718,RIDRETH1,2.0,490
1718,RIDRETH1,3.0,1793
1718,RIDRETH1,4.0,1225
1718,RIDRETH1,5.0,1013
2123,RIDRETH1,1.0,401
2123,RIDRETH1,2.0,608
2123,RIDRETH1,3.0,3550
2123,RIDRETH1,4.0,743
2123,RIDRETH1,5.0,721
