cycle,component,variable,present,resolved_name
0910,DEMO,SEQN,True,
0910,DEMO,RIDAGEYR,True,
0910,DEMO,RIAGENDR,True,
0910,DEMO,INDFMPIR,True,
0910,DEMO,DMDEDUC2,True,
0910,DEMO,WTMEC2YR,True,
0910,DEMO,SDMVPSU,True,
0910,DEMO,SDMVSTRA,True,
0910,DPQ,SEQN,True,
0910,DPQ,DPQ010,True,
0910,DPQ,DPQ020,True,
0910,DPQ,DPQ030,True,
0910,DPQ,DPQ040,True,
0910,DPQ,DPQ050,True,
0910,DPQ,DPQ060,True,
0910,DPQ,DPQ070,True,
0910,DPQ,DPQ080,True,
0910,DPQ,DPQ090,True,
0910,CBC,SEQN,True,
0910,CBC,LBXHGB,True,
0910,GHB,SEQN,True,
0910,GHB,LBXGH,True,
0910,BMX,SEQN,True,
0910,BMX,BMXBMI,True,
0910,BIOPRO,SEQN,True,
0910,BIOPRO,LBXSCR,True,
0910,SMQ,SEQN,True,
0910,SMQ,SMQ020,True,
0910,SMQ,SMQ040,True,
0910,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
0910,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
1112,DEMO,SEQN,True,
1112,DEMO,RIDAGEYR,True,
1112,DEMO,RIAGENDR,True,
1112,DEMO,INDFMPIR,True,
1112,DEMO,DMDEDUC2,True,
1112,DEMO,WTMEC2YR,True,
1112,DEMO,SDMVPSU,True,
1112,DEMO,SDMVSTRA,True,
1112,DPQ,SEQN,True,
1112,DPQ,DPQ010,True,
1112,DPQ,DPQ020,True,
1112,DPQ,DPQ030,True,
1112,DPQ,DPQ040,True,
1112,DPQ,DPQ050,True,
1112,DPQ,DPQ060,True,
1112,DPQ,DPQ070,True,
1112,DPQ,DPQ080,True,
1112,DPQ,DPQ090,True,
1112,CBC,SEQN,True,
1112,CBC,LBXHGB,True,
1112,GHB,SEQN,True,
1112,GHB,LBXGH,True,
1112,BMX,SEQN,True,
1112,BMX,BMXBMI,True,
1112,BIOPRO,SEQN,True,
1112,BIOPRO,LBXSCR,True,
1112,SMQ,SEQN,True,
1112,SMQ,SMQ020,True,
1112,SMQ,SMQ040,True,
1112,DEMO,RACE_VARIABLE_USED,True,RIDRETH1
1112,DEMO,PREG_VARIABLE_USED,True,RIDEXPRG
1314,DEMO,SEQN,True,
1314,DEMO,RIDAGEYR,True,
1314,DEMO,RIAGENDR,True,
1314,DEMO,INDFMPIR,True,
1314,DEMO,DMDEDUC2,True,
1314,DEMO,WTMEC2YR,True,
1314,DEMO,SDMVPSU,True,
1314,DEMO,SDMVSTRA,True,
1314,DPQ,SEQN,True,
1314,DPQ,DPQ010,True,
1314,DPQ,DPQ020,True,
1314,DPQ,DPQ030,True,
1314,DPQ,DPQ040,True,
1314,DPQ,DPQ050,True,
1314,DPQ,DPQ060,True,
1314,DPQ,DPQ070,True,
1314,DPQ,DPQ080,True,
1314,DPQ,DPQ090,True,
1314,CBC,SEQN,True,
1314,CBC,LBXHGB,True,
1314,GHB,SEQN,True,
