"population","outcome","model","term","beta","se","ci_low","ci_high","p"
"2009-2018","SOMATIC_SCORE","Additive_A+G+X","A",0.157867925232278,0.0448875419118544,0.0674030287666417,0.248332821697915,0.00102627983290337
"2009-2018","SOMATIC_SCORE","Additive_A+G+X","G_HBA1C",0.106565787173772,0.0254327525364456,0.0553094423829671,0.157822131964577,0.000132086306786404
"2009-2018","SOMATIC_SCORE","Interaction_A+G+AxG+X","A",0.148901349788632,0.0510366035054772,0.0459762296240528,0.251826469953212,0.00558966200814981
"2009-2018","SOMATIC_SCORE","Interaction_A+G+AxG+X","G_HBA1C",0.104073768234099,0.0260047140764134,0.0516302642130462,0.156517272255152,0.000243494939444473
"2009-2018","SOMATIC_SCORE","Interaction_A+G+AxG+X","AG_HBA1C",0.0237009922824386,0.0469858805842365,-0.0710550665656413,0.118457051130518,0.616535860851968
"2009-2018","PHQ9_TOTAL","Additive_A+G+X","A",0.253617280789498,0.0941543320485532,0.0638616929854328,0.443372868593564,0.0099652673894048
"2009-2018","PHQ9_TOTAL","Additive_A+G+X","G_HBA1C",0.171881981287897,0.0479173500524963,0.0753109077388249,0.268453054836969,0.00083476876605014
"2009-2018","PHQ9_TOTAL","Interaction_A+G+AxG+X","A",0.251774313807276,0.108029339388489,0.0339123877747743,0.469636239839778,0.024533132865472
"2009-2018","PHQ9_TOTAL","Interaction_A+G+AxG+X","G_HBA1C",0.171369778089055,0.0488996067000702,0.0727543227117144,0.269985233466395,0.00108234113153636
"2009-2018","PHQ9_TOTAL","Interaction_A+G+AxG+X","AG_HBA1C",0.00487144133197282,0.0862948301528831,-0.169158669471037,0.178901552134982,0.955243919292649
"2021-2023","SOMATIC_SCORE","Additive_A+G+X","A",-0.0118148350093508,0.169131180091976,NA,NA,NA
"2021-2023","SOMATIC_SCORE","Additive_A+G+X","G_HBA1C",0.120650206593999,0.0546320450659024,NA,NA,NA
"2021-2023","SOMATIC_SCORE","Interaction_A+G+AxG+X","A",0.0238728768541417,0.179620930848968,NA,NA,NA
"2021-2023","SOMATIC_SCORE","Interaction_A+G+AxG+X","G_HBA1C",0.129624456708495,0.0543615318391396,NA,NA,NA
"2021-2023","SOMATIC_SCORE","Interaction_A+G+AxG+X","AG_HBA1C",-0.070649788190087,0.0900122909028844,NA,NA,NA
"2021-2023","PHQ9_TOTAL","Additive_A+G+X","A",-0.0812763854875102,0.379084871598881,NA,NA,NA
"2021-2023","PHQ9_TOTAL","Additive_A+G+X","G_HBA1C",0.19098051113694,0.110895887535478,NA,NA,NA
"2021-2023","PHQ9_TOTAL","Interaction_A+G+AxG+X","A",0.0232855378975766,0.427707390029477,NA,NA,NA
"2021-2023","PHQ9_TOTAL","Interaction_A+G+AxG+X","G_HBA1C",0.217274291374233,0.116076024384002,NA,NA,NA
"2021-2023","PHQ9_TOTAL","Interaction_A+G+AxG+X","AG_HBA1C",-0.206997797117431,0.184864791077749,NA,NA,NA
