"population","outcome","model","weighted_R2","n","design_df"
"2009-2018","SOMATIC_SCORE","X",0.0911856759714657,16318,62
"2009-2018","SOMATIC_SCORE","X+A",0.0919855828948051,16318,62
"2009-2018","SOMATIC_SCORE","X+G",0.092854964134586,16318,62
"2009-2018","SOMATIC_SCORE","X+A+G",0.0936176773053111,16318,62
"2009-2018","SOMATIC_SCORE","X+A+G+AxG",0.0936334269274961,16318,62
"2009-2018","PHQ9_TOTAL","X",0.0956697888752119,16318,62
"2009-2018","PHQ9_TOTAL","X+A",0.0961791536774844,16318,62
"2009-2018","PHQ9_TOTAL","X+G",0.0967409550462276,16318,62
"2009-2018","PHQ9_TOTAL","X+A+G",0.0972265450421793,16318,62
"2009-2018","PHQ9_TOTAL","X+A+G+AxG",0.0972267091731882,16318,62
"2021-2023","SOMATIC_SCORE","X",0.095642558363083,4076,15
"2021-2023","SOMATIC_SCORE","X+A",0.0956440860268392,4076,15
"2021-2023","SOMATIC_SCORE","X+G",0.0980878779771862,4076,15
"2021-2023","SOMATIC_SCORE","X+A+G",0.0980926420947074,4076,15
"2021-2023","SOMATIC_SCORE","X+A+G+AxG",0.098319289408649,4076,15
"2021-2023","PHQ9_TOTAL","X",0.0888843258997802,4076,15
"2021-2023","PHQ9_TOTAL","X+A",0.0889247858820752,4076,15
"2021-2023","PHQ9_TOTAL","X+G",0.0902331577930975,4076,15
"2021-2023","PHQ9_TOTAL","X+A+G",0.0902830709235236,4076,15
"2021-2023","PHQ9_TOTAL","X+A+G+AxG",0.090713814884631,4076,15
