period,variable,n,missing_n,missing_pct
2009-2018,A,27390,1280,4.673238408178167
2009-2018,AG_HBA1C,27390,1350,4.928806133625411
2009-2018,BMXBMI,27390,371,1.3545089448703906
2009-2018,EDUC3,27390,38,0.13873676524278933
2009-2018,EGFR_2021,27390,1708,6.235852500912742
2009-2018,G_HBA1C,27390,1290,4.70974808324206
2009-2018,INDFMPIR,27390,2701,9.86126323475721
2009-2018,PHQ9_TOTAL,27390,2971,10.847024461482292
2009-2018,RIAGENDR,27390,0,0.0
2009-2018,RIDAGEYR,27390,0,0.0
2009-2018,RIDRETH_FROZEN,27390,0,0.0
2009-2018,SMOKING3,27390,19,0.06936838262139466
2009-2018,SOMATIC_SCORE,27390,2881,10.518437385907266
2021-2023,A,6023,292,4.848082350987879
2021-2023,AG_HBA1C,6023,315,5.229951851236925
2021-2023,BMXBMI,6023,94,1.5606840444960983
2021-2023,EDUC3,6023,4,0.06641208699983397
2021-2023,EGFR_2021,6023,616,10.227461397974432
2021-2023,G_HBA1C,6023,293,4.8646853727378385
2021-2023,INDFMPIR,6023,787,13.066578117217334
2021-2023,PHQ9_TOTAL,6023,848,14.079362443964802
2021-2023,RIAGENDR,6023,0,0.0
2021-2023,RIDAGEYR,6023,0,0.0
2021-2023,RIDRETH_FROZEN,6023,0,0.0
2021-2023,SMOKING3,6023,7,0.11622115224970944
2021-2023,SOMATIC_SCORE,6023,806,13.382035530466545
