"analysis","outcome","model","term","beta","se","ci_low","ci_high","p","p_BH_within_block"
"Primary_MEC","SOMATIC_SCORE","A_PC1-4+scalar_G+X","A_PC1_Z",0.0974424356011345,0.0345354773473178,0.0221960944781164,0.172688776724152,0.0154164897911786,0.0205553197215715
"Primary_MEC","SOMATIC_SCORE","A_PC1-4+scalar_G+X","A_PC2_Z",-0.0543798910834442,0.0357461962437878,-0.132264162071211,0.0235043799043231,0.154094831823469,0.154094831823469
"Primary_MEC","SOMATIC_SCORE","A_PC1-4+scalar_G+X","A_PC3_Z",0.0863078911764809,0.0256715799416382,0.0303743234418118,0.14224145891115,0.00565322242532507,0.0113064448506501
"Primary_MEC","SOMATIC_SCORE","A_PC1-4+scalar_G+X","A_PC4_Z",0.117775058907357,0.0275023342010176,0.0578526203043839,0.17769749751033,0.00106454870224749,0.00425819480898997
"Primary_MEC","SOMATIC_SCORE","A_PC1-4+scalar_G+X","G_SCALAR_Z",0.0753289107488398,0.0345663181615615,1.53732640702509e-05,0.150642448233609,0.0499601982873272,NA
"Primary_MEC","PHQ9_TOTAL","A_PC1-4+scalar_G+X","A_PC1_Z",0.144630911695357,0.0673693557924085,-0.00215430503155864,0.291416128422273,0.0529414976619757,0.070588663549301
"Primary_MEC","PHQ9_TOTAL","A_PC1-4+scalar_G+X","A_PC2_Z",-0.0893411530593397,0.0737508351298444,-0.250030418838917,0.0713481127202378,0.249061219450419,0.249061219450419
"Primary_MEC","PHQ9_TOTAL","A_PC1-4+scalar_G+X","A_PC3_Z",0.114348309818632,0.0499740228686839,0.00546426764226031,0.223232351995004,0.0410683394274699,0.070588663549301
"Primary_MEC","PHQ9_TOTAL","A_PC1-4+scalar_G+X","A_PC4_Z",0.241963513641651,0.0546369660617129,0.122919791012298,0.361007236271004,0.00082314918618476,0.00329259674473904
"Primary_MEC","PHQ9_TOTAL","A_PC1-4+scalar_G+X","G_SCALAR_Z",0.137983427952955,0.0612701193253834,0.00448730589156732,0.271479550014342,0.0438348267484463,NA
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","A_PC1_FZ",0.146503232117297,0.0371704847681751,0.0646915467491313,0.228314917485463,0.00230653783258391,0.00922615133033566
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","A_PC2_FZ",-0.109784181031291,0.0500867193467007,-0.220024307031054,0.000455944968471803,0.0508010920632486,0.0677347894176648
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","A_PC3_FZ",0.0784089601966049,0.0492157520888821,-0.0299141797937736,0.186732100186983,0.13942951610666,0.13942951610666
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","A_PC4_FZ",0.1375501698366,0.0483454467734647,0.0311425589302039,0.243957780742996,0.0159343146167945,0.031868629233589
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","G_PC1_FZ",0.0939558796963999,0.0466095344438207,-0.00863101393322961,0.196542773326029,0.0689103667950558,0.137820733590112
"Fasting_sensitivity","SOMATIC_SCORE","A_PC1-4+G_PC1-2+X","G_PC2_FZ",-0.00104651212407925,0.0457988114741984,-0.101849016528625,0.099755992280466,0.982179001820275,0.982179001820275
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","A_PC1_FZ",0.249761701742248,0.0740706778883467,0.0867332389120695,0.412790164572427,0.00623082551070299,0.012461651021406
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","A_PC2_FZ",-0.196646941491716,0.100240681383234,-0.417275193653689,0.0239813106702572,0.0755887676888533,0.100785023585138
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","A_PC3_FZ",0.0899424020316597,0.0975711452065308,-0.124810240621061,0.30469504468438,0.376401079802447,0.376401079802447
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","A_PC4_FZ",0.289096989451238,0.083762666921107,0.104736602588183,0.473457376314293,0.00541483044886133,0.012461651021406
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","G_PC1_FZ",0.18212083587606,0.0969653301492139,-0.0312984168257465,0.395540088577866,0.0871001639496212,0.174200327899242
"Fasting_sensitivity","PHQ9_TOTAL","A_PC1-4+G_PC1-2+X","G_PC2_FZ",-0.00603273381217917,0.0917014309473297,-0.20786622248642,0.195800754862062,0.94872807150228,0.94872807150228
