"analysis","outcome","model","weighted_R2","delta_R2_over_X","n"
"Primary_MEC","SOMATIC_SCORE","X",0.0718238443384613,0,7957
"Primary_MEC","SOMATIC_SCORE","X+scalar_A+scalar_G",0.0754835707661147,0.00365972642765333,7957
"Primary_MEC","SOMATIC_SCORE","X+A_PC1+scalar_G",0.0748524571088013,0.00302861277033994,7957
"Primary_MEC","SOMATIC_SCORE","X+A_PC1-4+scalar_G",0.0797933363691636,0.0079694920307023,7957
"Primary_MEC","SOMATIC_SCORE","X+scalar_A+A_PC1-4+scalar_G",0.0799812225589521,0.00815737822049079,7957
"Primary_MEC","PHQ9_TOTAL","X",0.0850022056553582,0,7957
"Primary_MEC","PHQ9_TOTAL","X+scalar_A+scalar_G",0.0876809333098042,0.00267872765444599,7957
"Primary_MEC","PHQ9_TOTAL","X+A_PC1+scalar_G",0.0872204537857407,0.00221824813038252,7957
"Primary_MEC","PHQ9_TOTAL","X+A_PC1-4+scalar_G",0.0916442640304843,0.0066420583751261,7957
"Primary_MEC","PHQ9_TOTAL","X+scalar_A+A_PC1-4+scalar_G",0.0917279476393531,0.00672574198399489,7957
"Fasting_sensitivity","SOMATIC_SCORE","X",0.0764499922222438,0,3838
"Fasting_sensitivity","SOMATIC_SCORE","X+scalar_A+scalar_G",0.0806865988082685,0.00423660658602465,3838
"Fasting_sensitivity","SOMATIC_SCORE","X+A_PC1-4+G_PC1",0.0893707262148175,0.0129207339925737,3838
"Fasting_sensitivity","SOMATIC_SCORE","X+A_PC1-4+G_PC1-2",0.0893709929824508,0.012921000760207,3838
"Fasting_sensitivity","SOMATIC_SCORE","X+scalars+A_PC1-4+G_PC1-2",0.0893855806071764,0.0129355883849326,3838
"Fasting_sensitivity","PHQ9_TOTAL","X",0.0892040358075519,0,3838
"Fasting_sensitivity","PHQ9_TOTAL","X+scalar_A+scalar_G",0.0930575211334459,0.00385348532589402,3838
"Fasting_sensitivity","PHQ9_TOTAL","X+A_PC1-4+G_PC1",0.101779035219937,0.0125749994123847,3838
"Fasting_sensitivity","PHQ9_TOTAL","X+A_PC1-4+G_PC1-2",0.101781454270431,0.012577418462879,3838
"Fasting_sensitivity","PHQ9_TOTAL","X+scalars+A_PC1-4+G_PC1-2",0.101784869078361,0.0125808332708092,3838
