"adjustment","outcome","test","F","df_num","df_den","p","pooled_design_df"
"X1_primary","SOMATIC_SCORE","A_PC1_4_joint_cycle_heterogeneity",2.39163509980725,4,31,0.0720189721549364,31
"X1_primary","SOMATIC_SCORE","A_PC2_4_joint_cycle_heterogeneity",2.75766338824499,3,31,0.0589247951938743,31
"X1_primary","SOMATIC_SCORE","G_scalar_cycle_heterogeneity",0.186696423570514,1,31,0.668671212565432,31
"X1_primary","SOMATIC_SCORE","A_PC1_Z_cycle_heterogeneity",0.886796172487417,1,31,0.353628106851115,31
"X1_primary","SOMATIC_SCORE","A_PC2_Z_cycle_heterogeneity",0.0477203271599251,1,31,0.82851040098126,31
"X1_primary","SOMATIC_SCORE","A_PC3_Z_cycle_heterogeneity",7.34572460652638,1,31,0.0108558927646702,31
"X1_primary","SOMATIC_SCORE","A_PC4_Z_cycle_heterogeneity",0.363001046922706,1,31,0.551226421352,31
"X1_primary","PHQ9_TOTAL","A_PC1_4_joint_cycle_heterogeneity",2.69845411936888,4,31,0.048764924688872,31
"X1_primary","PHQ9_TOTAL","A_PC2_4_joint_cycle_heterogeneity",3.28643019996431,3,31,0.0336541061170655,31
"X1_primary","PHQ9_TOTAL","G_scalar_cycle_heterogeneity",4.34710321455375e-06,1,31,0.998349794826065,31
"X1_primary","PHQ9_TOTAL","A_PC1_Z_cycle_heterogeneity",0.270999143060598,1,31,0.606360868113372,31
"X1_primary","PHQ9_TOTAL","A_PC2_Z_cycle_heterogeneity",0.0943208572385819,1,31,0.760807990533711,31
"X1_primary","PHQ9_TOTAL","A_PC3_Z_cycle_heterogeneity",9.34114270523742,1,31,0.00458264000062229,31
"X1_primary","PHQ9_TOTAL","A_PC4_Z_cycle_heterogeneity",0.160879593167157,1,31,0.691099408574135,31
"X3_full","SOMATIC_SCORE","A_PC1_4_joint_cycle_heterogeneity",2.71487124800373,4,31,0.0477641125770559,31
"X3_full","SOMATIC_SCORE","A_PC2_4_joint_cycle_heterogeneity",2.810335033639,3,31,0.0556920783233478,31
"X3_full","SOMATIC_SCORE","G_scalar_cycle_heterogeneity",0.0905146890113386,1,31,0.765532516869082,31
"X3_full","SOMATIC_SCORE","A_PC1_Z_cycle_heterogeneity",1.30432564375622,1,31,0.26216949260037,31
"X3_full","SOMATIC_SCORE","A_PC2_Z_cycle_heterogeneity",0.0358882746708988,1,31,0.850981342606333,31
"X3_full","SOMATIC_SCORE","A_PC3_Z_cycle_heterogeneity",7.35272481919913,1,31,0.0108219239274106,31
"X3_full","SOMATIC_SCORE","A_PC4_Z_cycle_heterogeneity",0.251860385486718,1,31,0.619314090827485,31
"X3_full","PHQ9_TOTAL","A_PC1_4_joint_cycle_heterogeneity",3.02424105641727,4,31,0.0324037430014555,31
"X3_full","PHQ9_TOTAL","A_PC2_4_joint_cycle_heterogeneity",3.33807303867511,3,31,0.0318871283897072,31
"X3_full","PHQ9_TOTAL","G_scalar_cycle_heterogeneity",0.0183153363786682,1,31,0.893222626153511,31
"X3_full","PHQ9_TOTAL","A_PC1_Z_cycle_heterogeneity",0.529020674432671,1,31,0.472476569100181,31
"X3_full","PHQ9_TOTAL","A_PC2_Z_cycle_heterogeneity",0.0802010705518241,1,31,0.778907747317588,31
"X3_full","PHQ9_TOTAL","A_PC3_Z_cycle_heterogeneity",9.58889830358451,1,31,0.00413376846949852,31
"X3_full","PHQ9_TOTAL","A_PC4_Z_cycle_heterogeneity",0.0893365919844223,1,31,0.767016818744387,31
