"scope","adjustment","variable","n_unique","kept","reason"
"cycle_0506","X1_primary","RIDAGEYR",66,TRUE,""
"cycle_0506","X1_primary","RIAGENDR",2,TRUE,""
"cycle_0506","X1_primary","RIDRETH1",5,TRUE,""
"cycle_0506","X1_primary","INDFMPIR",402,TRUE,""
"cycle_0506","X1_primary","EDUC3",3,TRUE,""
"cycle_0506","X1_primary","SMOKING3",3,TRUE,""
"cycle_0708","X1_primary","RIDAGEYR",61,TRUE,""
"cycle_0708","X1_primary","RIAGENDR",2,TRUE,""
"cycle_0708","X1_primary","RIDRETH1",5,TRUE,""
"cycle_0708","X1_primary","INDFMPIR",401,TRUE,""
"cycle_0708","X1_primary","EDUC3",3,TRUE,""
"cycle_0708","X1_primary","SMOKING3",3,TRUE,""
"pooled_0506_0708","X1_primary","RIDAGEYR",66,TRUE,""
"pooled_0506_0708","X1_primary","RIAGENDR",2,TRUE,""
"pooled_0506_0708","X1_primary","RIDRETH1",5,TRUE,""
"pooled_0506_0708","X1_primary","INDFMPIR",470,TRUE,""
"pooled_0506_0708","X1_primary","EDUC3",3,TRUE,""
"pooled_0506_0708","X1_primary","SMOKING3",3,TRUE,""
"cycle_0506","X3_full","RIDAGEYR",66,TRUE,""
"cycle_0506","X3_full","RIAGENDR",2,TRUE,""
"cycle_0506","X3_full","RIDRETH1",5,TRUE,""
"cycle_0506","X3_full","INDFMPIR",402,TRUE,""
"cycle_0506","X3_full","EDUC3",3,TRUE,""
"cycle_0506","X3_full","SMOKING3",3,TRUE,""
"cycle_0506","X3_full","BMXBMI",1812,TRUE,""
"cycle_0506","X3_full","EGFR_2021",965,TRUE,""
"cycle_0708","X3_full","RIDAGEYR",61,TRUE,""
"cycle_0708","X3_full","RIAGENDR",2,TRUE,""
"cycle_0708","X3_full","RIDRETH1",5,TRUE,""
"cycle_0708","X3_full","INDFMPIR",401,TRUE,""
"cycle_0708","X3_full","EDUC3",3,TRUE,""
"cycle_0708","X3_full","SMOKING3",3,TRUE,""
"cycle_0708","X3_full","BMXBMI",1953,TRUE,""
"cycle_0708","X3_full","EGFR_2021",2507,TRUE,""
"pooled_0506_0708","X3_full","RIDAGEYR",66,TRUE,""
"pooled_0506_0708","X3_full","RIAGENDR",2,TRUE,""
"pooled_0506_0708","X3_full","RIDRETH1",5,TRUE,""
"pooled_0506_0708","X3_full","INDFMPIR",470,TRUE,""
"pooled_0506_0708","X3_full","EDUC3",3,TRUE,""
"pooled_0506_0708","X3_full","SMOKING3",3,TRUE,""
"pooled_0506_0708","X3_full","BMXBMI",2456,TRUE,""
"pooled_0506_0708","X3_full","EGFR_2021",3270,TRUE,""
