model,component,variable,label,loading
0506_cycle_fit,1,LBXHGB,Hemoglobin,0.7009205953958297
0708_cycle_fit_aligned_to_0506,1,LBXHGB,Hemoglobin,0.6924316554792154
0506_cycle_fit,1,LBXRBCSI,RBC count,0.5714481961414046
0708_cycle_fit_aligned_to_0506,1,LBXRBCSI,RBC count,0.5166373154830891
0506_cycle_fit,1,LBXMCVSI,MCV,0.15751795822382714
0708_cycle_fit_aligned_to_0506,1,LBXMCVSI,MCV,0.2501360273677067
0506_cycle_fit,1,LBXRDW,RDW,-0.3966678344833201
0708_cycle_fit_aligned_to_0506,1,LBXRDW,RDW,-0.43709982218418086
0506_cycle_fit,2,LBXHGB,Hemoglobin,-0.013079318966458534
0708_cycle_fit_aligned_to_0506,2,LBXHGB,Hemoglobin,-0.10770149453156279
0506_cycle_fit,2,LBXRBCSI,RBC count,-0.5046411878075364
0708_cycle_fit_aligned_to_0506,2,LBXRBCSI,RBC count,-0.5640327315085344
0506_cycle_fit,2,LBXMCVSI,MCV,0.7304208167602249
0708_cycle_fit_aligned_to_0506,2,LBXMCVSI,MCV,0.6881986201523583
0506_cycle_fit,2,LBXRDW,RDW,-0.4600561198668037
0708_cycle_fit_aligned_to_0506,2,LBXRDW,RDW,-0.4434525060060879
0506_cycle_fit,3,LBXHGB,Hemoglobin,0.3012715069078424
0708_cycle_fit_aligned_to_0506,3,LBXHGB,Hemoglobin,0.29045931843716954
0506_cycle_fit,3,LBXRBCSI,RBC count,0.03494733303575516
0708_cycle_fit_aligned_to_0506,3,LBXRBCSI,RBC count,0.004277906930379077
0506_cycle_fit,3,LBXMCVSI,MCV,0.5288188617753923
0708_cycle_fit_aligned_to_0506,3,LBXMCVSI,MCV,0.5524155281312304
0506_cycle_fit,3,LBXRDW,RDW,0.7926946287630215
0708_cycle_fit_aligned_to_0506,3,LBXRDW,RDW,0.7813143849468046
0506_cycle_fit,4,LBXHGB,Hemoglobin,0.6463549562669162
0708_cycle_fit_aligned_to_0506,4,LBXHGB,Hemoglobin,0.651592031027848
0506_cycle_fit,4,LBXRBCSI,RBC count,-0.6461910821178376
0708_cycle_fit_aligned_to_0506,4,LBXRBCSI,RBC count,-0.6441542218675151
0506_cycle_fit,4,LBXMCVSI,MCV,-0.40252221641904634
0708_cycle_fit_aligned_to_0506,4,LBXMCVSI,MCV,-0.39831107355004036
0506_cycle_fit,4,LBXRDW,RDW,0.05136361737329362
0708_cycle_fit_aligned_to_0506,4,LBXRDW,RDW,0.04291214558460449
FINAL_POOLED_0506_0708_FROZEN,1,LBXHGB,Hemoglobin,0.6974021610161518
FINAL_POOLED_0506_0708_FROZEN,1,LBXRBCSI,RBC count,0.5428118657314353
FINAL_POOLED_0506_0708_FROZEN,1,LBXMCVSI,MCV,0.2117993609472081
FINAL_POOLED_0506_0708_FROZEN,1,LBXRDW,RDW,-0.4172847168702847
FINAL_POOLED_0506_0708_FROZEN,2,LBXHGB,Hemoglobin,-0.06640920799026993
FINAL_POOLED_0506_0708_FROZEN,2,LBXRBCSI,RBC count,-0.538345460091647
FINAL_POOLED_0506_0708_FROZEN,2,LBXMCVSI,MCV,0.708288419328676
FINAL_POOLED_0506_0708_FROZEN,2,LBXRDW,RDW,-0.45177593753729683
FINAL_POOLED_0506_0708_FROZEN,3,LBXHGB,Hemoglobin,0.2882332491858842
FINAL_POOLED_0506_0708_FROZEN,3,LBXRBCSI,RBC count,0.021715243848212912
FINAL_POOLED_0506_0708_FROZEN,3,LBXMCVSI,MCV,0.545370320824231
FINAL_POOLED_0506_0708_FROZEN,3,LBXRDW,RDW,0.7867790384932969
FINAL_POOLED_0506_0708_FROZEN,4,LBXHGB,Hemoglobin,0.6527952488857852
FINAL_POOLED_0506_0708_FROZEN,4,LBXRBCSI,RBC count,-0.6442576287514833
FINAL_POOLED_0506_0708_FROZEN,4,LBXMCVSI,MCV,-0.39501868172444143
FINAL_POOLED_0506_0708_FROZEN,4,LBXRDW,RDW,0.052447229825285324
