period,space,dimension,weighted_mean,weighted_sd,weighted_q05,weighted_q50,weighted_q95
2009-2018,biomarker_discovery_z,LBXHGB,-0.19030065313415373,0.974656637070878,-1.7836800487766247,-0.17564701307115818,1.298383269658853
2009-2018,biomarker_discovery_z,LBXRBCSI,-0.11786208270916312,1.003546431097494,-1.685334821960549,-0.14315064017969278,1.524075502286098
2009-2018,biomarker_discovery_z,LBXMCVSI,0.01891734494713251,1.0341815569231327,-1.655987248001154,0.07128266795754695,1.5357071619225315
2009-2018,biomarker_discovery_z,LBXRDW,0.5393150060091845,1.1073050847986494,-0.7226376534007346,0.32552819118404785,2.421859880353614
2009-2018,frozen_component_score,A_FROZEN_PC1,-0.41773425176871537,1.3698325784016403,-2.7412693160544808,-0.3268886468021941,1.5404734898854142
2009-2018,frozen_component_score,A_FROZEN_PC2,-0.154162373319138,1.3070518480134286,-2.2735915551352206,-0.05437281393346444,1.6971281588698222
2009-2018,frozen_component_score,A_FROZEN_PC3,0.37722832091433234,0.7984326409240856,-0.7501289070914762,0.3120768761622551,1.6581609273537898
2021-2023,biomarker_discovery_z,LBXHGB,-0.31631862940105165,0.9955796714172034,-2.0516855547275363,-0.24264838955888576,1.2313818931711267
2021-2023,biomarker_discovery_z,LBXRBCSI,-0.08204814937624592,1.0020373379347307,-1.6644944951797271,-0.10146998661804706,1.5657561558477435
2021-2023,biomarker_discovery_z,LBXMCVSI,-0.19976281417965094,1.0853106248940931,-1.9360866424463976,-0.135238735037514,1.3291857589274707
2021-2023,biomarker_discovery_z,LBXRDW,0.9288546438246109,1.1820637722041794,-0.19855473110834337,0.6749168060456425,2.945942802646007
2021-2023,frozen_component_score,A_FROZEN_PC1,-0.6950444882029602,1.432408091278365,-3.1700424580518662,-0.555344210195379,1.2788349320478967
2021-2023,frozen_component_score,A_FROZEN_PC2,-0.4959471470689737,1.3505624764146822,-2.725215173454499,-0.3869991336922091,1.4246214936365318
2021-2023,frozen_component_score,A_FROZEN_PC3,0.5289034116091633,0.8187488096935318,-0.5369061752454773,0.4426464925754297,1.809101864945439
0910,biomarker_discovery_z,LBXHGB,-0.1555112364693483,0.9620597000077455,-1.7166786722888971,-0.10864563658342942,1.365384646146582
0910,biomarker_discovery_z,LBXRBCSI,-0.22728687202026965,1.0126708408008145,-1.8312171094263063,-0.2681926008646263,1.4407141951628082
0910,biomarker_discovery_z,LBXMCVSI,0.07089725409464356,1.0173954086499601,-1.5808885560029486,0.1276066869561997,1.5758049908675038
0910,biomarker_discovery_z,LBXRDW,0.07093354686460909,1.0772066586180018,-0.9846791145469309,-0.19855473110834337,1.8104298043458247
0910,frozen_component_score,A_FROZEN_PC1,-0.24641137534344798,1.3867308183689477,-2.6473742120608614,-0.14302184915927016,1.7292783220558714
0910,frozen_component_score,A_FROZEN_PC2,0.15085586813789442,1.2626463700725186,-1.8279063792708399,0.2411670538934399,1.886117294796723
0910,frozen_component_score,A_FROZEN_PC3,0.04471518718831678,0.7763866124941112,-1.0139548144077948,-0.027655937916680525,1.3055114579085803
1112,biomarker_discovery_z,LBXHGB,-0.22871973263699072,0.9714807685826364,-1.8506814252643533,-0.24264838955888576,1.2313818931711267
1112,biomarker_discovery_z,LBXRBCSI,-0.34493036197288696,0.9861236258211029,-1.914578416549596,-0.3515539079879159,1.2114706005737632
1112,biomarker_discovery_z,LBXMCVSI,0.12891032555720405,1.0261136196574758,-1.468240518005643,0.1839307059548551,1.629580526920287
1112,biomarker_discovery_z,LBXRDW,0.15630117068923277,1.0507559144975325,-0.8973319608315327,-0.11120757739294508,1.897776958061223
1112,frozen_component_score,A_FROZEN_PC1,-0.3846608943230341,1.351158476682874,-2.6726767631962995,-0.2948481301561886,1.540488705337915
1112,frozen_component_score,A_FROZEN_PC2,0.2215733735097929,1.2596366768785825,-1.6883782188160574,0.2916625383420312,1.9790895678167055
1112,frozen_component_score,A_FROZEN_PC3,0.11986347178515953,0.7900715520299529,-0.9332021784225194,0.04933864750566206,1.3861121950929307
1314,biomarker_discovery_z,LBXHGB,-0.19313674532310296,0.9800355714903415,-1.7836800487766247,-0.17564701307115818,1.365384646146582
1314,biomarker_discovery_z,LBXRBCSI,-0.13476629846416197,0.9903448923322143,-1.685334821960549,-0.17398765681192072,1.473877816374283
1314,biomarker_discovery_z,LBXMCVSI,0.04442498066254079,1.044913826121092,-1.6372125750016013,0.09005734095709965,1.610805853920737
1314,biomarker_discovery_z,LBXRDW,0.7686323480424265,1.0515431037524758,-0.2859018848237416,0.5875696523302443,2.596554187784411
