model,component,variable,label,loading
0506_cycle_fit,1,LBXGH,HbA1c,0.7071067811865475
0506_cycle_fit,1,LBXGLU,Fasting glucose,0.7071067811865476
0506_cycle_fit,2,LBXGH,HbA1c,-0.7071067811865476
0506_cycle_fit,2,LBXGLU,Fasting glucose,0.7071067811865475
0708_cycle_fit,1,LBXGH,HbA1c,0.7071067811865481
0708_cycle_fit,1,LBXGLU,Fasting glucose,0.7071067811865469
0708_cycle_fit,2,LBXGH,HbA1c,-0.7071067811865469
0708_cycle_fit,2,LBXGLU,Fasting glucose,0.7071067811865481
FINAL_POOLED_0506_0708_FROZEN,1,LBXGH,HbA1c,0.7071067811865481
FINAL_POOLED_0506_0708_FROZEN,1,LBXGLU,Fasting glucose,0.7071067811865468
FINAL_POOLED_0506_0708_FROZEN,2,LBXGH,HbA1c,-0.7071067811865468
FINAL_POOLED_0506_0708_FROZEN,2,LBXGLU,Fasting glucose,0.7071067811865481
