period,var1,var2,weighted_correlation
2009-2018,LBXGH,LBXGLU,0.82870464802441
2009-2018,LBXGH,LOG_IN,0.23056026387925685
2009-2018,LBXGLU,LOG_IN,0.2698948975885623
2021-2023,LBXGH,LBXGLU,0.8608290909636197
2021-2023,LBXGH,LOG_IN,0.2298747798530204
2021-2023,LBXGLU,LOG_IN,0.24827562284910676
0910,LBXGH,LBXGLU,0.8020157524702057
0910,LBXGH,LOG_IN,0.13801062434271602
0910,LBXGLU,LOG_IN,0.20131944690736878
1112,LBXGH,LBXGLU,0.8162894700090876
1112,LBXGH,LOG_IN,0.21728499632232062
1112,LBXGLU,LOG_IN,0.2786519543703578
1314,LBXGH,LBXGLU,0.8410351511894252
1314,LBXGH,LOG_IN,0.267725231310824
1314,LBXGLU,LOG_IN,0.29435594319635466
1516,LBXGH,LBXGLU,0.8400822361073447
1516,LBXGH,LOG_IN,0.2220351452484121
1516,LBXGLU,LOG_IN,0.2793737693249449
1718,LBXGH,LBXGLU,0.8411109361244331
1718,LBXGH,LOG_IN,0.2945879286520031
1718,LBXGLU,LOG_IN,0.30006591918686254
2123,LBXGH,LBXGLU,0.8608290909636197
2123,LBXGH,LOG_IN,0.2298747798530204
2123,LBXGLU,LOG_IN,0.24827562284910676
