block,model,component,variable,label,loading
G3_core,0506_cycle_fit,1,LBXGH,HbA1c,0.6771130530012182
G3_core,0506_cycle_fit,1,LBXGLU,Fasting glucose,0.6895952830372829
G3_core,0506_cycle_fit,1,LOG_IN,log fasting insulin,0.25685844169133115
G3_core,0506_cycle_fit,2,LBXGH,HbA1c,-0.23387529408371777
G3_core,0506_cycle_fit,2,LBXGLU,Fasting glucose,-0.12928889537989097
G3_core,0506_cycle_fit,2,LOG_IN,log fasting insulin,0.9636320502913455
G3_core,0506_cycle_fit,3,LBXGH,HbA1c,-0.6977250606597301
G3_core,0506_cycle_fit,3,LBXGLU,Fasting glucose,0.7125606831310416
G3_core,0506_cycle_fit,3,LOG_IN,log fasting insulin,-0.07373610094925608
G3_core,0708_cycle_fit_aligned,1,LBXGH,HbA1c,0.6724038586966999
G3_core,0708_cycle_fit_aligned,1,LBXGLU,Fasting glucose,0.6886462803560327
G3_core,0708_cycle_fit_aligned,1,LOG_IN,log fasting insulin,0.2713657151550063
G3_core,0708_cycle_fit_aligned,2,LBXGH,HbA1c,-0.2566766580941069
G3_core,0708_cycle_fit_aligned,2,LBXGLU,Fasting glucose,-0.1269332587719034
G3_core,0708_cycle_fit_aligned,2,LOG_IN,log fasting insulin,0.9581257960242935
G3_core,0708_cycle_fit_aligned,3,LBXGH,HbA1c,-0.6942551000888857
G3_core,0708_cycle_fit_aligned,3,LBXGLU,Fasting glucose,0.7139007272508866
G3_core,0708_cycle_fit_aligned,3,LOG_IN,log fasting insulin,-0.09140901285554932
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,1,LBXGH,HbA1c,0.6737760998895422
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,1,LBXGLU,Fasting glucose,0.688049184366462
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,1,LOG_IN,log fasting insulin,0.269470011523145
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,2,LBXGH,HbA1c,-0.24796666154808691
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,2,LBXGLU,Fasting glucose,-0.13299677468537063
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,2,LOG_IN,log fasting insulin,0.9595959528280561
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,3,LBXGH,HbA1c,-0.6960878550717098
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,3,LBXGLU,Fasting glucose,0.7133723977109956
G3_core,FINAL_POOLED_DISCOVERY_FROZEN,3,LOG_IN,log fasting insulin,-0.08100321108283859
G4_extended,0506_cycle_fit,1,LBXGH,HbA1c,0.5308829146823093
G4_extended,0506_cycle_fit,1,LBXGLU,Fasting glucose,0.5773287923716721
G4_extended,0506_cycle_fit,1,LOG_IN,log fasting insulin,0.3015433489569093
G4_extended,0506_cycle_fit,1,LBXGLT,2-hour OGTT glucose,0.5421497994991187
G4_extended,0506_cycle_fit,2,LBXGH,HbA1c,-0.2830140691472015
G4_extended,0506_cycle_fit,2,LBXGLU,Fasting glucose,-0.13853899547258125
G4_extended,0506_cycle_fit,2,LOG_IN,log fasting insulin,0.9437477185150023
G4_extended,0506_cycle_fit,2,LBXGLT,2-hour OGTT glucose,-0.10025082142266448
G4_extended,0506_cycle_fit,3,LBXGH,HbA1c,-0.6673435462680869
G4_extended,0506_cycle_fit,3,LBXGLU,Fasting glucose,-0.01125727232681406
