block,sample,component,anchor,weighted_correlation
G3_core,POOLED_0506_0708,1,log_HOMA_IR,0.5562832956298406
G3_core,POOLED_0506_0708,2,log_HOMA_IR,0.8276570284660544
G3_core,POOLED_0506_0708,3,log_HOMA_IR,0.03744673389579227
G4_extended,POOLED_0506_0708,1,log_HOMA_IR,0.6189042989931706
G4_extended,POOLED_0506_0708,1,2h_OGTT_glucose,0.8313294784880729
G4_extended,POOLED_0506_0708,2,log_HOMA_IR,0.77854204497785
G4_extended,POOLED_0506_0708,2,2h_OGTT_glucose,-0.10040753838359685
G4_extended,POOLED_0506_0708,3,log_HOMA_IR,-0.09344684013253983
G4_extended,POOLED_0506_0708,3,2h_OGTT_glucose,0.5081435253569575
G4_extended,POOLED_0506_0708,4,log_HOMA_IR,0.02690086073477204
G4_extended,POOLED_0506_0708,4,2h_OGTT_glucose,-0.20149387601189822
