block,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_within_block_outcome
G3_core,SOMATIC_SCORE,PC_block,G3_FROZEN_PC1_Z,0.114387417845671,0.0464375293886807,0.0140652348707953,0.214709600820546,0.0284940722659663,0.0854822167978989
G3_core,SOMATIC_SCORE,PC_block,G3_FROZEN_PC2_Z,0.056303204076498,0.057850584967208,-0.0686753864446957,0.181281794597692,0.348190292673564,0.522285439010346
G3_core,SOMATIC_SCORE,PC_block,G3_FROZEN_PC3_Z,-0.0174364560889221,0.0410799308586323,-0.10618425112557,0.0713113389477257,0.678176412124032,0.678176412124032
G3_core,SOMATIC_SCORE,union_scalar_plus_PCs,G_HBA1C,0.0526137769235151,0.206716763625339,-0.397783359770661,0.503010913617692,0.803402276948202,
G3_core,SOMATIC_SCORE,union_scalar_plus_PCs,G3_FROZEN_PC1_Z,0.0777076960434143,0.154255298239633,-0.258385726805242,0.41380111889207,0.623550126857323,
G3_core,SOMATIC_SCORE,union_scalar_plus_PCs,G3_FROZEN_PC2_Z,0.0673912288012175,0.0861491417820208,-0.120311626578271,0.255094084180705,0.449221545262478,
G3_core,SOMATIC_SCORE,union_scalar_plus_PCs,G3_FROZEN_PC3_Z,-0.0110627709587693,0.055773715076219,-0.13258325692504,0.110457715007501,0.846091115304737,
G3_core,PHQ9_TOTAL,PC_block,G3_FROZEN_PC1_Z,0.22397992057526,0.0926450265472739,0.0238325090453658,0.424127332105153,0.0310436763754408,0.0931310291263224
G3_core,PHQ9_TOTAL,PC_block,G3_FROZEN_PC2_Z,0.0989562626697092,0.109411515000883,-0.137412944994306,0.335325470333724,0.382216974853344,0.573325462280016
G3_core,PHQ9_TOTAL,PC_block,G3_FROZEN_PC3_Z,-0.0340908829425492,0.0831903340133846,-0.213812673065736,0.145630907180637,0.688629719387822,0.688629719387822
G3_core,PHQ9_TOTAL,union_scalar_plus_PCs,G_HBA1C,0.160239700747379,0.347955933601799,-0.59789115154306,0.918370553037817,0.653378697329339,
G3_core,PHQ9_TOTAL,union_scalar_plus_PCs,G3_FROZEN_PC1_Z,0.11226873029833,0.272239839205477,-0.480890924109106,0.705428384705766,0.687326212510281,
G3_core,PHQ9_TOTAL,union_scalar_plus_PCs,G3_FROZEN_PC2_Z,0.132725778330055,0.149335010763991,-0.192647259041022,0.458098815701132,0.391590088951691,
G3_core,PHQ9_TOTAL,union_scalar_plus_PCs,G3_FROZEN_PC3_Z,-0.0146792866338786,0.101838858495612,-0.236567098082783,0.207208524815026,0.887780547455499,
G4_extended,SOMATIC_SCORE,PC_block,G4_FROZEN_PC1_Z,0.117431709344879,0.0587917641471106,-0.0106645406576157,0.245527959347373,0.0689667031828055,0.137933406365611
G4_extended,SOMATIC_SCORE,PC_block,G4_FROZEN_PC2_Z,0.0866244890598059,0.0632710109427035,-0.0512312013281722,0.224480179447784,0.19604769466924,0.2613969262256533
G4_extended,SOMATIC_SCORE,PC_block,G4_FROZEN_PC3_Z,-0.0744365894031231,0.0367189720921004,-0.154440356889584,0.0055671780833381,0.0654506731851361,0.137933406365611
G4_extended,SOMATIC_SCORE,PC_block,G4_FROZEN_PC4_Z,-0.0168436069092638,0.0419917075649973,-0.108335678091514,0.0746484642729867,0.695384293317442,0.695384293317442
G4_extended,SOMATIC_SCORE,union_scalar_plus_PCs,G_HBA1C,0.458262152702361,0.27306763977404,-0.142755670141551,1.05927997554627,0.121458608832076,
G4_extended,SOMATIC_SCORE,union_scalar_plus_PCs,G4_FROZEN_PC1_Z,-0.0011714506239329,0.0795521293232561,-0.17626450671811,0.173921605470245,0.988514808164379,
G4_extended,SOMATIC_SCORE,union_scalar_plus_PCs,G4_FROZEN_PC2_Z,0.134376918023836,0.0718137164552484,-0.0236840061851947,0.292437842232866,0.088137371778511,
G4_extended,SOMATIC_SCORE,union_scalar_plus_PCs,G4_FROZEN_PC3_Z,-0.0433871149265935,0.0429103705110239,-0.137832203635391,0.0510579737822041,0.333687912220946,
G4_extended,SOMATIC_SCORE,union_scalar_plus_PCs,G4_FROZEN_PC4_Z,-0.0191446968170845,0.0421233670937509,-0.111857602683523,0.0735682090493538,0.658313027765933,
G4_extended,PHQ9_TOTAL,PC_block,G4_FROZEN_PC1_Z,0.220122563743227,0.140987325966393,-0.0870624308928251,0.527307558379279,0.144427928517912,0.192570571357216
