"block","outcome","model","weighted_R2","n","design_df"
"G3_core","SOMATIC_SCORE","X_plus_A",0.0801625017084804,3815,31
"G3_core","SOMATIC_SCORE","scalar_G",0.0817017737413214,3815,31
"G3_core","SOMATIC_SCORE","PC1_only",0.0823482269575061,3815,31
"G3_core","SOMATIC_SCORE","PC_block",0.0830017716450394,3815,31
"G3_core","SOMATIC_SCORE","union_scalar_plus_PCs",0.0830367390171624,3815,31
"G3_core","PHQ9_TOTAL","X_plus_A",0.092683881083779,3815,31
"G3_core","PHQ9_TOTAL","scalar_G",0.0944726771965686,3815,31
"G3_core","PHQ9_TOTAL","PC1_only",0.0950221921112715,3815,31
"G3_core","PHQ9_TOTAL","PC_block",0.0955865141425374,3815,31
"G3_core","PHQ9_TOTAL","union_scalar_plus_PCs",0.0956750719099962,3815,31
"G4_extended","SOMATIC_SCORE","X_plus_A",0.0698484307524817,2965,31
"G4_extended","SOMATIC_SCORE","scalar_G",0.0724407425052304,2965,31
"G4_extended","SOMATIC_SCORE","PC1_only",0.0717066633572671,2965,31
"G4_extended","SOMATIC_SCORE","PC_block",0.0744752090916105,2965,31
"G4_extended","SOMATIC_SCORE","union_scalar_plus_PCs",0.076021338185951,2965,31
"G4_extended","PHQ9_TOTAL","X_plus_A",0.084464780722995,2965,31
"G4_extended","PHQ9_TOTAL","scalar_G",0.0873036434897632,2965,31
"G4_extended","PHQ9_TOTAL","PC1_only",0.0862983138825514,2965,31
"G4_extended","PHQ9_TOTAL","PC_block",0.0904098374679877,2965,31
"G4_extended","PHQ9_TOTAL","union_scalar_plus_PCs",0.092037007127471,2965,31
